id_venda;data_venda;cliente_id;produto_id;vendedor_responsavel_id;canal_venda;quantidade;preco_unitario;valor_bruto;desconto_percentual;valor_desconto;valor_liquido;custo_total;lucro_bruto;margem_percentual;forma_pagamento;parcelas;status;cidade_entrega;estado_entrega;centro_custo;observacoes
VEN0017;2025-08-12;CLI002;PROD012;FUN033;Loja Física;1;384.61;384.61;0.0;0.0;384.61;145.0;239.61;62.3;Boleto;6;Devolvida;São Paulo;SP;CC-COMERCIAL;Venda regular.
VEN0018;2025-08-12;CLI042;PROD025;FUN038;Loja Física;1;225.1;225.1;5.0;11.26;213.84;120.0;93.84;43.9;Boleto;3;Devolvida;São Bernardo;SP;CC-COMERCIAL;Venda regular.
VEN0019;2025-08-12;CLI035;PROD031;FUN036;E-commerce;3;172.09;516.27;0.0;0.0;516.27;297.0;219.27;42.5;Cartão de Crédito;6;Devolvida;São Paulo;SP;CC-COMERCIAL;Venda regular.
VEN0020;2025-08-12;CLI022;PROD050;FUN021;Loja Física;2;321.78;643.56;0.0;0.0;643.56;340.0;303.56;47.2;Boleto;2;Concluída;São Paulo;SP;CC-COMERCIAL;Venda regular.
VEN0021;2025-08-12;CLI035;PROD054;FUN026;Loja Física;2;314.36;628.72;0.0;0.0;628.72;356.0;272.72;43.4;Cartão de Crédito;6;Concluída;São Paulo;SP;CC-COMERCIAL;Venda regular.
VEN0022;2025-08-13;CLI002;PROD026;FUN028;Loja Física;1;184.7;184.7;0.0;0.0;0.0;86.0;0.0;0.0;Cartão de Débito;1;Cancelada;São Paulo;SP;CC-COMERCIAL;Venda regular.
VEN0023;2025-08-13;CLI035;PROD024;FUN026;Loja Física;3;120.51;361.53;0.0;0.0;0.0;204.0;0.0;0.0;Boleto;1;Cancelada;São Paulo;SP;CC-COMERCIAL;Venda regular.
VEN0024;2025-08-13;CLI074;PROD049;FUN021;WhatsApp;2;57.41;114.82;0.0;0.0;0.0;54.0;0.0;0.0;Cartão de Débito;1;Cancelada;Osasco;SP;CC-COMERCIAL;Venda regular.
VEN0025;2025-08-13;CLI112;PROD043;FUN036;Loja Física;1;124.41;124.41;0.0;0.0;124.41;72.0;52.41;42.1;PIX;6;Concluída;Guarulhos;SP;CC-COMERCIAL;Venda regular.
VEN0026;2025-08-14;CLI116;PROD009;FUN030;E-commerce;2;160.97;321.94;0.0;0.0;321.94;128.0;193.94;60.2;Boleto;1;Concluída;São Bernardo;SP;CC-COMERCIAL;Venda regular.
VEN0027;2025-08-15;CLI046;PROD060;FUN035;E-commerce;1;355.5;355.5;0.0;0.0;355.5;157.0;198.5;55.8;PIX;1;Concluída;São Bernardo;SP;CC-COMERCIAL;Venda regular.
VEN0028;2025-08-15;CLI033;PROD029;FUN033;Loja Física;2;298.41;596.82;0.0;0.0;596.82;336.0;260.82;43.7;Cartão de Crédito;2;Concluída;Santo André;SP;CC-COMERCIAL;Venda regular.
VEN0029;2025-08-16;CLI074;PROD041;FUN031;E-commerce;3;261.74;785.22;0.0;0.0;785.22;396.0;389.22;49.6;Cartão de Crédito;1;Devolvida;Osasco;SP;CC-COMERCIAL;Venda regular.
VEN0030;2025-08-16;CLI043;PROD026;FUN025;Loja Física;1;184.7;184.7;5.0;9.23;175.47;86.0;89.47;51.0;Boleto;1;Devolvida;Guarulhos;SP;CC-COMERCIAL;Venda regular.
VEN0031;2025-08-17;CLI044;PROD079;FUN033;Loja Física;1;293.22;293.22;0.0;0.0;293.22;123.0;170.22;58.1;PIX;6;Concluída;Osasco;SP;CC-COMERCIAL;Venda regular.
VEN0032;2025-08-19;CLI022;PROD003;FUN029;Loja Física;1;160.15;160.15;0.0;0.0;160.15;71.0;89.15;55.7;Cartão de Crédito;6;Concluída;São Paulo;SP;CC-COMERCIAL;Venda regular.
VEN0033;2025-08-19;CLI069;PROD002;FUN025;E-commerce;1;386.26;386.26;0.0;0.0;386.26;147.0;239.26;61.9;Cartão de Crédito;6;Concluída;São Bernardo;SP;CC-COMERCIAL;Venda regular.
VEN0034;2025-08-19;CLI044;PROD015;FUN026;E-commerce;3;304.13;912.39;5.0;45.62;866.77;336.0;530.77;61.2;PIX;1;Concluída;Osasco;SP;CC-COMERCIAL;Venda regular.
VEN0035;2025-08-19;CLI073;PROD019;FUN038;WhatsApp;2;257.17;514.34;0.0;0.0;0.0;302.0;0.0;0.0;Cartão de Débito;1;Cancelada;Barueri;SP;CC-COMERCIAL;Venda regular.
VEN0036;2025-08-19;CLI101;PROD028;FUN030;WhatsApp;1;294.47;294.47;0.0;0.0;294.47;121.0;173.47;58.9;Boleto;1;Concluída;Santo André;SP;CC-COMERCIAL;Venda regular.
VEN0037;2025-08-21;CLI105;PROD051;FUN027;E-commerce;1;366.05;366.05;5.0;18.3;347.75;179.0;168.75;48.5;PIX;1;Concluída;Guarulhos;SP;CC-COMERCIAL;Venda regular.
VEN0038;2025-08-21;CLI053;PROD005;FUN028;Loja Física;1;159.53;159.53;0.0;0.0;159.53;62.0;97.53;61.1;Cartão de Crédito;1;Concluída;São Bernardo;SP;CC-COMERCIAL;Venda regular.
VEN0039;2025-08-22;CLI052;PROD040;FUN037;E-commerce;1;216.48;216.48;5.0;10.82;205.66;92.0;113.66;55.3;PIX;1;Concluída;São Paulo;SP;CC-COMERCIAL;Venda regular.
VEN0040;2025-08-22;CLI025;PROD008;FUN032;E-commerce;1;374.42;374.42;0.0;0.0;374.42;152.0;222.42;59.4;Cartão de Crédito;1;Concluída;Osasco;SP;CC-COMERCIAL;Venda regular.
VEN0041;2025-08-22;CLI002;PROD038;FUN027;WhatsApp;1;137.27;137.27;0.0;0.0;137.27;60.0;77.27;56.3;Cartão de Crédito;1;Concluída;São Paulo;SP;CC-COMERCIAL;Venda regular.
VEN0042;2025-08-23;CLI002;PROD056;FUN037;E-commerce;2;129.22;258.44;0.0;0.0;258.44;146.0;112.44;43.5;Cartão de Crédito;3;Concluída;São Paulo;SP;CC-COMERCIAL;Venda regular.
VEN0043;2025-08-23;CLI081;PROD053;FUN030;Loja Física;2;369.45;738.9;0.0;0.0;738.9;330.0;408.9;55.3;Cartão de Débito;1;Concluída;São Bernardo;SP;CC-COMERCIAL;Venda regular.
VEN0044;2025-08-24;CLI113;PROD011;FUN028;E-commerce;1;283.61;283.61;0.0;0.0;283.61;127.0;156.61;55.2;Cartão de Débito;4;Concluída;São Paulo;SP;CC-COMERCIAL;Venda regular.
VEN0045;2025-08-24;CLI104;PROD012;FUN033;Loja Física;1;384.61;384.61;0.0;0.0;0.0;145.0;0.0;0.0;Cartão de Débito;1;Cancelada;São Paulo;SP;CC-COMERCIAL;Venda regular.
VEN0046;2025-08-26;CLI043;PROD006;FUN034;Loja Física;2;76.32;152.64;5.0;7.63;145.01;70.0;75.01;51.7;Boleto;1;Concluída;Guarulhos;SP;CC-COMERCIAL;Venda regular.
VEN0047;2025-08-26;CLI116;PROD064;FUN028;E-commerce;3;241.43;724.29;0.0;0.0;724.29;324.0;400.29;55.3;Cartão de Crédito;1;Concluída;São Bernardo;SP;CC-COMERCIAL;Venda regular.
VEN0048;2025-08-27;CLI033;PROD030;FUN038;E-commerce;2;102.21;204.42;0.0;0.0;204.42;78.0;126.42;61.8;PIX;1;Concluída;Santo André;SP;CC-COMERCIAL;Venda regular.
VEN0049;2025-08-27;CLI043;PROD032;FUN026;Loja Física;2;222.05;444.1;0.0;0.0;444.1;250.0;194.1;43.7;Cartão de Débito;1;Concluída;Guarulhos;SP;CC-COMERCIAL;Venda regular.
VEN0050;2025-08-27;CLI053;PROD072;FUN023;Loja Física;2;145.08;290.16;0.0;0.0;290.16;104.0;186.16;64.2;Cartão de Débito;4;Concluída;São Bernardo;SP;CC-COMERCIAL;Venda regular.
VEN0051;2025-08-29;CLI114;PROD034;FUN030;E-commerce;2;164.97;329.94;0.0;0.0;329.94;178.0;151.94;46.1;Boleto;1;Concluída;Osasco;SP;CC-COMERCIAL;Venda regular.
VEN0052;2025-08-29;CLI101;PROD052;FUN022;Loja Física;2;232.1;464.2;0.0;0.0;464.2;248.0;216.2;46.6;Cartão de Crédito;2;Concluída;Santo André;SP;CC-COMERCIAL;Venda regular.
VEN0053;2025-08-30;CLI101;PROD018;FUN038;E-commerce;3;160.85;482.55;0.0;0.0;0.0;279.0;0.0;0.0;PIX;1;Cancelada;Santo André;SP;CC-COMERCIAL;Venda regular.
VEN0054;2025-08-30;CLI032;PROD040;FUN022;E-commerce;2;216.48;432.96;0.0;0.0;432.96;184.0;248.96;57.5;PIX;6;Concluída;São Bernardo;SP;CC-COMERCIAL;Venda regular.
VEN0055;2025-08-30;CLI111;PROD039;FUN032;Loja Física;1;57.26;57.26;0.0;0.0;0.0;27.0;0.0;0.0;Cartão de Crédito;6;Cancelada;Guarulhos;SP;CC-COMERCIAL;Venda regular.
VEN0056;2025-08-31;CLI035;PROD025;FUN027;E-commerce;1;225.1;225.1;0.0;0.0;0.0;120.0;0.0;0.0;PIX;2;Cancelada;São Paulo;SP;CC-COMERCIAL;Venda regular.
VEN0057;2025-08-31;CLI002;PROD068;FUN030;E-commerce;1;318.09;318.09;5.0;15.9;0.0;122.0;0.0;0.0;Boleto;3;Cancelada;São Paulo;SP;CC-COMERCIAL;Venda regular.
VEN0058;2025-09-01;CLI105;PROD023;FUN023;E-commerce;2;481.91;963.82;0.0;0.0;963.82;354.0;609.82;63.3;Cartão de Débito;1;Devolvida;Guarulhos;SP;CC-COMERCIAL;Venda regular.
VEN0059;2025-09-02;CLI081;PROD018;FUN037;E-commerce;1;160.85;160.85;0.0;0.0;0.0;93.0;0.0;0.0;Cartão de Crédito;1;Cancelada;São Bernardo;SP;CC-COMERCIAL;Venda regular.
VEN0060;2025-09-03;CLI040;PROD027;FUN033;Loja Física;3;74.8;224.4;0.0;0.0;224.4;84.0;140.4;62.6;PIX;1;Concluída;São Bernardo;SP;CC-COMERCIAL;Venda regular.
VEN0061;2025-09-03;CLI074;PROD039;FUN021;E-commerce;2;57.26;114.52;5.0;5.73;108.79;54.0;54.79;50.4;Cartão de Crédito;2;Concluída;Osasco;SP;CC-COMERCIAL;Venda regular.
VEN0062;2025-09-03;CLI036;PROD023;FUN033;Loja Física;1;481.91;481.91;0.0;0.0;481.91;177.0;304.91;63.3;PIX;6;Concluída;Guarulhos;SP;CC-COMERCIAL;Venda regular.
VEN0063;2025-09-03;CLI071;PROD043;FUN032;Loja Física;2;124.41;248.82;0.0;0.0;248.82;144.0;104.82;42.1;Boleto;1;Concluída;São Paulo;SP;CC-COMERCIAL;Venda regular.
VEN0064;2025-09-03;CLI044;PROD078;FUN028;E-commerce;1;300.12;300.12;0.0;0.0;300.12;136.0;164.12;54.7;Boleto;2;Concluída;Osasco;SP;CC-COMERCIAL;Venda regular.
VEN0065;2025-09-03;CLI044;PROD054;FUN027;Loja Física;2;314.36;628.72;0.0;0.0;628.72;356.0;272.72;43.4;Boleto;6;Concluída;Osasco;SP;CC-COMERCIAL;Venda regular.
VEN0066;2025-09-04;CLI100;PROD037;FUN024;WhatsApp;1;465.86;465.86;5.0;23.29;442.57;173.0;269.57;60.9;PIX;6;Devolvida;Santo André;SP;CC-COMERCIAL;Venda regular.
VEN0067;2025-09-04;CLI070;PROD016;FUN027;WhatsApp;2;208.07;416.14;0.0;0.0;416.14;198.0;218.14;52.4;Cartão de Crédito;1;Concluída;São Bernardo;SP;CC-COMERCIAL;Venda regular.
VEN0068;2025-09-05;CLI112;PROD066;FUN025;Loja Física;2;204.6;409.2;0.0;0.0;409.2;160.0;249.2;60.9;Cartão de Crédito;2;Concluída;Guarulhos;SP;CC-COMERCIAL;Venda regular.
VEN0069;2025-09-06;CLI030;PROD038;FUN037;E-commerce;3;137.27;411.81;0.0;0.0;411.81;180.0;231.81;56.3;PIX;1;Concluída;São Bernardo;SP;CC-COMERCIAL;Venda regular.
VEN0070;2025-09-06;CLI081;PROD049;FUN029;E-commerce;2;57.41;114.82;0.0;0.0;0.0;54.0;0.0;0.0;Boleto;4;Cancelada;São Bernardo;SP;CC-COMERCIAL;Venda regular.
VEN0071;2025-09-06;CLI042;PROD069;FUN036;Loja Física;2;201.84;403.68;0.0;0.0;403.68;210.0;193.68;48.0;PIX;3;Concluída;São Bernardo;SP;CC-COMERCIAL;Venda regular.
VEN0072;2025-09-07;CLI074;PROD001;FUN029;Loja Física;1;144.71;144.71;0.0;0.0;144.71;67.0;77.71;53.7;PIX;6;Devolvida;Osasco;SP;CC-COMERCIAL;Venda regular.
VEN0073;2025-09-07;CLI034;PROD002;FUN029;Loja Física;1;386.26;386.26;0.0;0.0;386.26;147.0;239.26;61.9;Cartão de Crédito;2;Devolvida;Guarulhos;SP;CC-COMERCIAL;Venda regular.
VEN0074;2025-09-09;CLI046;PROD017;FUN025;WhatsApp;3;252.12;756.36;0.0;0.0;756.36;369.0;387.36;51.2;Cartão de Crédito;3;Concluída;São Bernardo;SP;CC-COMERCIAL;Venda regular.
VEN0075;2025-09-09;CLI116;PROD007;FUN027;E-commerce;1;239.77;239.77;0.0;0.0;239.77;138.0;101.77;42.4;Cartão de Débito;6;Concluída;São Bernardo;SP;CC-COMERCIAL;Venda regular.
VEN0076;2025-09-09;CLI082;PROD002;FUN021;WhatsApp;1;386.26;386.26;0.0;0.0;386.26;147.0;239.26;61.9;PIX;1;Concluída;Santo André;SP;CC-COMERCIAL;Venda regular.
VEN0077;2025-09-09;CLI116;PROD024;FUN036;WhatsApp;1;120.51;120.51;0.0;0.0;120.51;68.0;52.51;43.6;Cartão de Crédito;1;Devolvida;São Bernardo;SP;CC-COMERCIAL;Venda regular.
VEN0078;2025-09-10;CLI060;PROD003;FUN039;E-commerce;4;160.15;640.6;0.0;0.0;640.6;284.0;356.6;55.7;PIX;1;Concluída;Barueri;SP;CC-COMERCIAL;Venda regular.
VEN0079;2025-09-10;CLI006;PROD027;FUN021;Loja Física;1;74.8;74.8;5.0;3.74;71.06;28.0;43.06;60.6;PIX;2;Concluída;São Paulo;SP;CC-COMERCIAL;Venda regular.
VEN0080;2025-09-11;CLI036;PROD075;FUN026;E-commerce;3;308.83;926.49;0.0;0.0;926.49;468.0;458.49;49.5;Cartão de Débito;1;Concluída;Guarulhos;SP;CC-COMERCIAL;Venda regular.
VEN0081;2025-09-12;CLI114;PROD002;FUN029;Loja Física;2;386.26;772.52;0.0;0.0;772.52;294.0;478.52;61.9;Cartão de Crédito;1;Concluída;Osasco;SP;CC-COMERCIAL;Venda regular.
VEN0082;2025-09-13;CLI044;PROD022;FUN033;E-commerce;2;162.46;324.92;0.0;0.0;324.92;136.0;188.92;58.1;PIX;1;Concluída;Osasco;SP;CC-COMERCIAL;Venda regular.
VEN0083;2025-09-14;CLI086;PROD051;FUN037;Loja Física;1;366.05;366.05;0.0;0.0;366.05;179.0;187.05;51.1;PIX;1;Concluída;Santo André;SP;CC-COMERCIAL;Venda regular.
VEN0084;2025-09-14;CLI046;PROD021;FUN021;Loja Física;1;369.09;369.09;0.0;0.0;369.09;180.0;189.09;51.2;Cartão de Crédito;1;Concluída;São Bernardo;SP;CC-COMERCIAL;Venda regular.
VEN0085;2025-09-14;CLI042;PROD075;FUN022;Loja Física;1;308.83;308.83;0.0;0.0;308.83;156.0;152.83;49.5;Boleto;6;Concluída;São Bernardo;SP;CC-COMERCIAL;Venda regular.
VEN0086;2025-09-15;CLI053;PROD035;FUN037;Loja Física;1;87.94;87.94;5.0;4.4;83.54;32.0;51.54;61.7;PIX;4;Devolvida;São Bernardo;SP;CC-COMERCIAL;Venda regular.
VEN0087;2025-09-15;CLI002;PROD077;FUN027;Loja Física;1;177.76;177.76;0.0;0.0;177.76;65.0;112.76;63.4;Cartão de Crédito;3;Concluída;São Paulo;SP;CC-COMERCIAL;Venda regular.
VEN0088;2025-09-15;CLI114;PROD001;FUN029;Loja Física;2;144.71;289.42;0.0;0.0;289.42;134.0;155.42;53.7;PIX;1;Concluída;Osasco;SP;CC-COMERCIAL;Venda regular.
VEN0089;2025-09-16;CLI049;PROD015;FUN023;Loja Física;2;304.13;608.26;0.0;0.0;608.26;224.0;384.26;63.2;PIX;1;Concluída;Barueri;SP;CC-COMERCIAL;Venda regular.
VEN0090;2025-09-16;CLI041;PROD039;FUN039;Loja Física;1;57.26;57.26;0.0;0.0;57.26;27.0;30.26;52.8;Cartão de Crédito;1;Concluída;Osasco;SP;CC-COMERCIAL;Venda regular.
VEN0091;2025-09-17;CLI060;PROD039;FUN030;E-commerce;3;57.26;171.78;0.0;0.0;171.78;81.0;90.78;52.8;Boleto;3;Concluída;Barueri;SP;CC-COMERCIAL;Venda regular.
VEN0092;2025-09-18;CLI112;PROD080;FUN034;WhatsApp;1;139.03;139.03;0.0;0.0;139.03;80.0;59.03;42.5;Cartão de Débito;1;Devolvida;Guarulhos;SP;CC-COMERCIAL;Venda regular.
VEN0093;2025-09-18;CLI044;PROD023;FUN030;WhatsApp;1;481.91;481.91;0.0;0.0;481.91;177.0;304.91;63.3;Cartão de Débito;3;Concluída;Osasco;SP;CC-COMERCIAL;Venda regular.
VEN0094;2025-09-19;CLI010;PROD051;FUN035;E-commerce;1;366.05;366.05;0.0;0.0;366.05;179.0;187.05;51.1;Cartão de Débito;1;Devolvida;Santo André;SP;CC-COMERCIAL;Venda regular.
VEN0095;2025-09-20;CLI091;PROD030;FUN037;Loja Física;1;102.21;102.21;0.0;0.0;0.0;39.0;0.0;0.0;PIX;2;Cancelada;Guarulhos;SP;CC-COMERCIAL;Venda regular.
VEN0096;2025-09-20;CLI024;PROD025;FUN027;E-commerce;1;225.1;225.1;0.0;0.0;225.1;120.0;105.1;46.7;Cartão de Débito;3;Concluída;Guarulhos;SP;CC-COMERCIAL;Venda regular.
VEN0097;2025-09-20;CLI043;PROD025;FUN031;E-commerce;1;225.1;225.1;0.0;0.0;225.1;120.0;105.1;46.7;Cartão de Crédito;1;Devolvida;Guarulhos;SP;CC-COMERCIAL;Venda regular.
VEN0098;2025-09-21;CLI043;PROD015;FUN039;WhatsApp;1;304.13;304.13;5.0;15.21;288.92;112.0;176.92;61.2;Cartão de Débito;1;Concluída;Guarulhos;SP;CC-COMERCIAL;Venda regular.
VEN0099;2025-09-21;CLI013;PROD015;FUN038;WhatsApp;1;304.13;304.13;0.0;0.0;304.13;112.0;192.13;63.2;Cartão de Crédito;1;Devolvida;Osasco;SP;CC-COMERCIAL;Venda regular.
VEN0100;2025-09-22;CLI119;PROD078;FUN031;Loja Física;1;300.12;300.12;0.0;0.0;0.0;136.0;0.0;0.0;Cartão de Débito;2;Cancelada;Osasco;SP;CC-COMERCIAL;Venda regular.
VEN0101;2025-09-23;CLI104;PROD034;FUN027;Loja Física;1;164.97;164.97;0.0;0.0;164.97;89.0;75.97;46.1;Boleto;4;Concluída;São Paulo;SP;CC-COMERCIAL;Venda regular.
VEN0102;2025-09-23;CLI046;PROD065;FUN036;E-commerce;1;277.85;277.85;0.0;0.0;277.85;147.0;130.85;47.1;Cartão de Crédito;2;Concluída;São Bernardo;SP;CC-COMERCIAL;Venda regular.
VEN0103;2025-09-24;CLI052;PROD051;FUN031;WhatsApp;1;366.05;366.05;0.0;0.0;366.05;179.0;187.05;51.1;PIX;2;Devolvida;São Paulo;SP;CC-COMERCIAL;Venda regular.
VEN0104;2025-09-24;CLI024;PROD047;FUN032;E-commerce;1;190.31;190.31;0.0;0.0;190.31;72.0;118.31;62.2;Cartão de Débito;1;Concluída;Guarulhos;SP;CC-COMERCIAL;Venda regular.
VEN0105;2025-09-24;CLI006;PROD002;FUN028;E-commerce;3;386.26;1158.78;0.0;0.0;1158.78;441.0;717.78;61.9;Boleto;4;Concluída;São Paulo;SP;CC-COMERCIAL;Venda regular.
VEN0106;2025-09-24;CLI110;PROD037;FUN030;Loja Física;1;465.86;465.86;5.0;23.29;0.0;173.0;0.0;0.0;Cartão de Crédito;1;Cancelada;Osasco;SP;CC-COMERCIAL;Venda regular.
VEN0107;2025-09-24;CLI044;PROD029;FUN028;Loja Física;1;298.41;298.41;0.0;0.0;298.41;168.0;130.41;43.7;Boleto;2;Concluída;Osasco;SP;CC-COMERCIAL;Venda regular.
VEN0108;2025-09-25;CLI006;PROD022;FUN032;Loja Física;2;162.46;324.92;0.0;0.0;324.92;136.0;188.92;58.1;Cartão de Débito;2;Concluída;São Paulo;SP;CC-COMERCIAL;Venda regular.
VEN0109;2025-09-25;CLI092;PROD073;FUN028;Loja Física;1;188.38;188.38;0.0;0.0;188.38;77.0;111.38;59.1;Cartão de Crédito;1;Concluída;São Paulo;SP;CC-COMERCIAL;Venda regular.
VEN0110;2025-09-26;CLI074;PROD005;FUN026;Loja Física;1;159.53;159.53;0.0;0.0;159.53;62.0;97.53;61.1;Cartão de Débito;1;Concluída;Osasco;SP;CC-COMERCIAL;Venda regular.
VEN0111;2025-09-26;CLI104;PROD030;FUN037;E-commerce;1;102.21;102.21;0.0;0.0;0.0;39.0;0.0;0.0;Boleto;1;Cancelada;São Paulo;SP;CC-COMERCIAL;Venda regular.
VEN0112;2025-09-26;CLI001;PROD016;FUN025;E-commerce;1;208.07;208.07;0.0;0.0;208.07;99.0;109.07;52.4;Cartão de Crédito;1;Concluída;Barueri;SP;CC-COMERCIAL;Venda regular.
VEN0113;2025-09-27;CLI081;PROD007;FUN031;E-commerce;1;239.77;239.77;0.0;0.0;0.0;138.0;0.0;0.0;Cartão de Crédito;6;Cancelada;São Bernardo;SP;CC-COMERCIAL;Venda regular.
VEN0114;2025-09-28;CLI034;PROD042;FUN022;E-commerce;2;109.51;219.02;0.0;0.0;219.02;118.0;101.02;46.1;Cartão de Débito;3;Concluída;Guarulhos;SP;CC-COMERCIAL;Venda regular.
VEN0115;2025-09-29;CLI074;PROD027;FUN032;E-commerce;2;74.8;149.6;0.0;0.0;149.6;56.0;93.6;62.6;Cartão de Débito;4;Concluída;Osasco;SP;CC-COMERCIAL;Venda regular.
VEN0116;2025-09-29;CLI042;PROD009;FUN021;Loja Física;3;160.97;482.91;0.0;0.0;0.0;192.0;0.0;0.0;Cartão de Débito;2;Cancelada;São Bernardo;SP;CC-COMERCIAL;Venda regular.
VEN0117;2025-09-29;CLI104;PROD033;FUN030;E-commerce;2;158.79;317.58;0.0;0.0;317.58;126.0;191.58;60.3;Boleto;1;Concluída;São Paulo;SP;CC-COMERCIAL;Venda regular.
VEN0118;2025-09-29;CLI002;PROD074;FUN026;Loja Física;2;145.05;290.1;0.0;0.0;290.1;146.0;144.1;49.7;Boleto;1;Concluída;São Paulo;SP;CC-COMERCIAL;Venda regular.
VEN0119;2025-09-29;CLI013;PROD005;FUN031;Loja Física;1;159.53;159.53;5.0;7.98;151.55;62.0;89.55;59.1;PIX;1;Concluída;Osasco;SP;CC-COMERCIAL;Venda regular.
VEN0120;2025-09-29;CLI037;PROD001;FUN023;E-commerce;1;144.71;144.71;0.0;0.0;144.71;67.0;77.71;53.7;Boleto;2;Concluída;São Bernardo;SP;CC-COMERCIAL;Venda regular.
VEN0121;2025-09-29;CLI083;PROD049;FUN023;E-commerce;1;57.41;57.41;0.0;0.0;57.41;27.0;30.41;53.0;Cartão de Débito;6;Concluída;São Paulo;SP;CC-COMERCIAL;Venda regular.
VEN0122;2025-09-29;CLI060;PROD032;FUN033;Loja Física;2;222.05;444.1;5.0;22.21;421.89;250.0;171.89;40.7;Cartão de Crédito;1;Concluída;Barueri;SP;CC-COMERCIAL;Venda regular.
VEN0123;2025-09-30;CLI109;PROD078;FUN032;E-commerce;1;300.12;300.12;0.0;0.0;300.12;136.0;164.12;54.7;PIX;1;Concluída;São Bernardo;SP;CC-COMERCIAL;Venda regular.
VEN0124;2025-09-30;CLI049;PROD043;FUN022;E-commerce;2;124.41;248.82;0.0;0.0;248.82;144.0;104.82;42.1;Boleto;2;Devolvida;Barueri;SP;CC-COMERCIAL;Venda regular.
VEN0125;2025-09-30;CLI043;PROD052;FUN038;Loja Física;3;232.1;696.3;0.0;0.0;696.3;372.0;324.3;46.6;Cartão de Crédito;2;Concluída;Guarulhos;SP;CC-COMERCIAL;Venda regular.
