id_compra;data_compra;fornecedor_id;produto_id;quantidade;custo_unitario;frete;valor_total;data_prevista_entrega;status;competencia
COMP00065;2023-09-02;FOR016;PROD038;11;68.18;45.0;794.98;2023-09-22;Recebida;2023-09
COMP00066;2023-09-05;FOR011;PROD039;15;97.73;45.0;1510.95;2023-09-17;Recebida;2023-09
COMP00067;2023-09-02;FOR002;PROD040;10;110.11;45.0;1146.1;2023-09-09;Recebida;2023-09
COMP00068;2023-09-02;FOR017;PROD041;24;73.79;45.0;1815.96;2023-09-17;Recebida;2023-09
COMP00069;2023-09-03;FOR009;PROD042;15;76.03;45.0;1185.45;2023-09-13;Recebida;2023-09
COMP00070;2023-09-04;FOR002;PROD043;17;84.41;45.0;1479.97;2023-09-11;Recebida;2023-09
COMP00071;2023-09-05;FOR001;PROD044;17;56.08;45.0;998.36;2023-09-20;Recebida;2023-09
COMP00072;2023-09-03;FOR017;PROD045;20;27.01;45.0;585.2;2023-09-18;Recebida;2023-09
COMP00073;2023-09-03;FOR001;PROD046;28;50.95;47.87;1474.47;2023-09-18;Recebida;2023-09
COMP00074;2023-09-03;FOR009;PROD047;18;65.35;45.0;1221.3;2023-09-13;Recebida;2023-09
COMP00075;2023-09-01;FOR015;PROD048;15;63.06;45.0;990.9;2023-09-16;Recebida;2023-09
COMP00076;2023-09-04;FOR012;PROD049;11;106.05;45.0;1211.55;2023-09-11;Recebida;2023-09
COMP00077;2023-09-04;FOR010;PROD050;10;71.82;45.0;763.2;2023-09-19;Recebida;2023-09
COMP00078;2023-09-05;FOR008;PROD051;20;73.3;45.0;1511.0;2023-09-20;Recebida;2023-09
COMP00079;2023-09-04;FOR007;PROD052;17;72.84;45.0;1283.28;2023-09-09;Recebida;2023-09
COMP00080;2023-09-03;FOR002;PROD053;18;69.28;45.0;1292.04;2023-09-10;Recebida;2023-09
COMP00081;2023-09-04;FOR011;PROD054;22;27.04;45.0;639.88;2023-09-16;Recebida;2023-09
COMP00082;2023-09-03;FOR015;PROD055;31;35.94;49.8;1163.94;2023-09-18;Recebida;2023-09
COMP00083;2023-09-01;FOR005;PROD056;22;65.15;45.0;1478.3;2023-09-21;Recebida;2023-09
COMP00084;2023-09-02;FOR017;PROD057;10;100.78;45.0;1052.8;2023-09-17;Recebida;2023-09
COMP00085;2023-09-05;FOR016;PROD059;19;51.82;45.0;1029.58;2023-09-25;Recebida;2023-09
COMP00086;2023-09-05;FOR003;PROD060;19;82.09;45.0;1604.71;2023-09-12;Recebida;2023-09
COMP00087;2023-09-03;FOR007;PROD061;19;55.54;45.0;1100.26;2023-09-08;Recebida;2023-09
COMP00088;2023-09-02;FOR004;PROD062;11;68.31;45.0;796.41;2023-09-22;Recebida;2023-09
COMP00089;2023-09-02;FOR005;PROD063;18;57.84;45.0;1086.12;2023-09-22;Recebida;2023-09
COMP00090;2023-09-04;FOR002;PROD064;26;40.79;45.0;1105.54;2023-09-11;Recebida;2023-09
COMP00091;2023-09-01;FOR010;PROD065;18;77.27;45.0;1435.86;2023-09-16;Recebida;2023-09
COMP00092;2023-09-01;FOR018;PROD066;20;68.6;45.0;1417.0;2023-09-06;Recebida;2023-09
COMP00093;2023-09-04;FOR015;PROD067;11;119.41;45.0;1358.51;2023-09-19;Recebida;2023-09
COMP00094;2023-09-01;FOR014;PROD068;17;74.19;45.0;1306.23;2023-09-11;Recebida;2023-09
COMP00095;2023-09-04;FOR011;PROD069;17;82.59;45.0;1449.03;2023-09-16;Recebida;2023-09
COMP00096;2023-09-04;FOR012;PROD070;17;87.17;45.0;1526.89;2023-09-11;Recebida;2023-09
COMP00097;2023-09-03;FOR015;PROD071;10;63.2;45.0;677.0;2023-09-18;Recebida;2023-09
COMP00098;2023-09-01;FOR014;PROD072;18;24.29;45.0;482.22;2023-09-11;Recebida;2023-09
COMP00099;2023-09-02;FOR005;PROD073;26;44.21;45.0;1194.46;2023-09-22;Recebida;2023-09
COMP00100;2023-09-05;FOR017;PROD074;12;65.08;45.0;825.96;2023-09-20;Recebida;2023-09
COMP00101;2023-09-05;FOR011;PROD075;20;76.29;45.0;1570.8;2023-09-17;Recebida;2023-09
COMP00102;2023-09-01;FOR018;PROD077;11;67.83;45.0;791.13;2023-09-06;Recebida;2023-09
COMP00103;2023-09-04;FOR011;PROD078;11;75.21;45.0;872.31;2023-09-16;Recebida;2023-09
COMP00104;2023-09-02;FOR014;PROD079;11;63.99;45.0;748.89;2023-09-12;Recebida;2023-09
COMP00105;2023-10-01;FOR017;PROD001;32;28.7;52.29;970.69;2023-10-16;Recebida;2023-10
COMP00106;2023-10-01;FOR009;PROD002;10;57.28;45.0;617.8;2023-10-11;Recebida;2023-10
COMP00107;2023-10-01;FOR017;PROD003;17;82.8;45.0;1452.6;2023-10-16;Recebida;2023-10
COMP00108;2023-10-04;FOR009;PROD004;12;129.74;45.0;1601.88;2023-10-14;Recebida;2023-10
COMP00109;2023-10-05;FOR009;PROD005;15;47.11;45.0;751.65;2023-10-15;Recebida;2023-10
COMP00110;2023-10-05;FOR009;PROD006;14;61.83;45.0;910.62;2023-10-15;Recebida;2023-10
COMP00111;2023-10-04;FOR006;PROD007;18;64.33;45.0;1202.94;2023-10-09;Recebida;2023-10
COMP00112;2023-10-02;FOR004;PROD008;10;77.44;45.0;819.4;2023-10-22;Recebida;2023-10
COMP00113;2023-10-04;FOR015;PROD009;23;21.42;45.0;537.66;2023-10-19;Recebida;2023-10
COMP00114;2023-10-01;FOR003;PROD010;37;51.63;45.0;1955.31;2023-10-08;Recebida;2023-10
COMP00115;2023-10-04;FOR015;PROD011;19;65.54;45.0;1290.26;2023-10-19;Recebida;2023-10
COMP00116;2023-10-01;FOR007;PROD012;20;91.82;45.0;1881.4;2023-10-06;Recebida;2023-10
COMP00117;2023-10-04;FOR018;PROD013;14;100.36;45.0;1450.04;2023-10-09;Recebida;2023-10
COMP00118;2023-10-02;FOR006;PROD014;20;46.38;45.0;972.6;2023-10-07;Recebida;2023-10
COMP00119;2023-10-04;FOR004;PROD015;11;69.97;45.0;814.67;2023-10-24;Recebida;2023-10
COMP00120;2023-10-04;FOR008;PROD016;10;62.54;45.0;670.4;2023-10-19;Recebida;2023-10
COMP00121;2023-10-02;FOR014;PROD017;10;65.04;45.0;695.4;2023-10-12;Recebida;2023-10
COMP00122;2023-10-04;FOR001;PROD018;18;24.65;45.0;488.7;2023-10-19;Recebida;2023-10
COMP00123;2023-10-01;FOR010;PROD019;18;34.17;45.0;660.06;2023-10-16;Recebida;2023-10
COMP00124;2023-10-05;FOR004;PROD020;13;84.05;45.0;1137.65;2023-10-25;Recebida;2023-10
COMP00125;2023-10-04;FOR004;PROD021;16;68.29;45.0;1137.64;2023-10-24;Recebida;2023-10
COMP00126;2023-10-02;FOR015;PROD023;17;63.07;45.0;1117.19;2023-10-17;Recebida;2023-10
COMP00127;2023-10-04;FOR018;PROD024;10;81.58;45.0;860.8;2023-10-09;Recebida;2023-10
COMP00128;2023-10-05;FOR012;PROD025;11;66.43;45.0;775.73;2023-10-12;Recebida;2023-10
COMP00129;2023-10-05;FOR016;PROD026;16;87.33;45.0;1442.28;2023-10-25;Recebida;2023-10
COMP00130;2023-10-02;FOR002;PROD027;17;63.94;45.0;1131.98;2023-10-09;Recebida;2023-10
COMP00131;2023-10-01;FOR015;PROD028;27;55.62;45.0;1546.74;2023-10-16;Recebida;2023-10
COMP00132;2023-10-02;FOR014;PROD029;14;70.81;45.0;1036.34;2023-10-12;Recebida;2023-10
COMP00133;2023-10-02;FOR001;PROD030;27;108.87;45.0;2984.49;2023-10-17;Recebida;2023-10
COMP00134;2023-10-04;FOR016;PROD031;10;115.01;45.0;1195.1;2023-10-24;Recebida;2023-10
COMP00135;2023-10-04;FOR004;PROD032;17;49.1;45.0;879.7;2023-10-24;Recebida;2023-10
COMP00136;2023-10-03;FOR016;PROD033;10;81.87;45.0;863.7;2023-10-23;Recebida;2023-10
COMP00137;2023-10-03;FOR002;PROD034;10;54.82;45.0;593.2;2023-10-10;Recebida;2023-10
COMP00138;2023-10-01;FOR008;PROD035;10;72.37;45.0;768.7;2023-10-16;Recebida;2023-10
COMP00139;2023-10-02;FOR004;PROD036;10;34.18;45.0;386.8;2023-10-22;Recebida;2023-10
COMP00140;2023-10-04;FOR006;PROD037;22;47.85;45.0;1097.7;2023-10-09;Recebida;2023-10
COMP00141;2023-10-05;FOR016;PROD038;17;66.59;45.0;1177.03;2023-10-25;Recebida;2023-10
COMP00142;2023-10-03;FOR011;PROD039;19;98.05;45.0;1907.95;2023-10-15;Recebida;2023-10
COMP00143;2023-10-03;FOR017;PROD041;11;72.39;45.0;841.29;2023-10-18;Recebida;2023-10
COMP00144;2023-10-05;FOR009;PROD042;18;76.25;45.0;1417.5;2023-10-15;Recebida;2023-10
COMP00145;2023-10-02;FOR002;PROD043;13;83.73;45.0;1133.49;2023-10-09;Recebida;2023-10
COMP00146;2023-10-03;FOR001;PROD044;13;55.62;45.0;768.06;2023-10-18;Recebida;2023-10
COMP00147;2023-10-04;FOR017;PROD045;31;27.18;50.93;893.51;2023-10-19;Recebida;2023-10
COMP00148;2023-10-03;FOR001;PROD046;26;51.48;45.0;1383.48;2023-10-18;Recebida;2023-10
COMP00149;2023-10-04;FOR009;PROD047;12;66.05;45.0;837.6;2023-10-14;Recebida;2023-10
COMP00150;2023-10-04;FOR015;PROD048;20;63.68;45.0;1318.6;2023-10-19;Recebida;2023-10
COMP00151;2023-10-02;FOR010;PROD050;17;71.97;45.0;1268.49;2023-10-17;Recebida;2023-10
COMP00152;2023-10-01;FOR008;PROD051;16;72.72;45.0;1208.52;2023-10-16;Recebida;2023-10
COMP00153;2023-10-04;FOR007;PROD052;15;74.14;45.0;1157.1;2023-10-09;Recebida;2023-10
COMP00154;2023-10-04;FOR002;PROD053;10;69.01;45.0;735.1;2023-10-11;Recebida;2023-10
COMP00155;2023-10-02;FOR011;PROD054;33;27.74;58.12;973.54;2023-10-14;Recebida;2023-10
COMP00156;2023-10-04;FOR015;PROD055;19;34.96;45.0;709.24;2023-10-19;Recebida;2023-10
COMP00157;2023-10-02;FOR005;PROD056;14;64.98;45.0;954.72;2023-10-22;Recebida;2023-10
COMP00158;2023-10-01;FOR017;PROD057;20;100.87;45.0;2062.4;2023-10-16;Recebida;2023-10
COMP00159;2023-10-01;FOR014;PROD058;16;143.68;45.0;2343.88;2023-10-11;Recebida;2023-10
COMP00160;2023-10-03;FOR016;PROD059;20;51.62;45.0;1077.4;2023-10-23;Recebida;2023-10
COMP00161;2023-10-02;FOR003;PROD060;13;83.14;45.0;1125.82;2023-10-09;Recebida;2023-10
COMP00162;2023-10-04;FOR007;PROD061;17;55.61;45.0;990.37;2023-10-09;Recebida;2023-10
COMP00163;2023-10-02;FOR004;PROD062;12;66.95;45.0;848.4;2023-10-22;Recebida;2023-10
COMP00164;2023-10-02;FOR005;PROD063;19;57.25;45.0;1132.75;2023-10-22;Recebida;2023-10
COMP00165;2023-10-01;FOR002;PROD064;37;41.95;55.93;1608.08;2023-10-08;Recebida;2023-10
COMP00166;2023-10-01;FOR010;PROD065;19;77.93;45.0;1525.67;2023-10-16;Recebida;2023-10
COMP00167;2023-10-03;FOR018;PROD066;27;68.1;45.0;1883.7;2023-10-08;Recebida;2023-10
COMP00168;2023-10-02;FOR014;PROD068;19;74.54;45.0;1461.26;2023-10-12;Recebida;2023-10
COMP00169;2023-10-03;FOR011;PROD069;16;82.93;45.0;1371.88;2023-10-15;Recebida;2023-10
COMP00170;2023-10-05;FOR015;PROD071;10;62.86;45.0;673.6;2023-10-20;Recebida;2023-10
COMP00171;2023-10-01;FOR014;PROD072;15;24.07;45.0;406.05;2023-10-11;Recebida;2023-10
COMP00172;2023-10-04;FOR005;PROD073;30;43.64;45.0;1354.2;2023-10-24;Recebida;2023-10
COMP00173;2023-10-02;FOR017;PROD074;16;64.16;45.0;1071.56;2023-10-17;Recebida;2023-10
COMP00174;2023-10-03;FOR011;PROD075;26;74.95;45.0;1993.7;2023-10-15;Recebida;2023-10
COMP00175;2023-10-04;FOR002;PROD076;10;143.67;45.0;1481.7;2023-10-11;Recebida;2023-10
COMP00176;2023-10-03;FOR018;PROD077;17;69.32;45.0;1223.44;2023-10-08;Recebida;2023-10
COMP00177;2023-10-04;FOR011;PROD078;13;74.56;45.0;1014.28;2023-10-16;Recebida;2023-10
COMP00178;2023-10-03;FOR014;PROD079;19;65.0;45.0;1280.0;2023-10-13;Recebida;2023-10
COMP00179;2023-10-02;FOR001;PROD080;10;48.91;45.0;534.1;2023-10-17;Recebida;2023-10
COMP00180;2023-11-03;FOR017;PROD001;17;28.74;45.0;533.58;2023-11-18;Recebida;2023-11
COMP00181;2023-11-02;FOR009;PROD002;10;56.26;45.0;607.6;2023-11-12;Recebida;2023-11
COMP00182;2023-11-01;FOR017;PROD003;20;84.52;45.0;1735.4;2023-11-16;Recebida;2023-11
COMP00183;2023-11-01;FOR009;PROD004;10;129.28;45.0;1337.8;2023-11-11;Recebida;2023-11
COMP00184;2023-11-02;FOR009;PROD005;24;47.17;45.0;1177.08;2023-11-12;Recebida;2023-11
COMP00185;2023-11-03;FOR009;PROD006;16;61.07;45.0;1022.12;2023-11-13;Recebida;2023-11
COMP00186;2023-11-05;FOR006;PROD007;17;65.43;45.0;1157.31;2023-11-10;Recebida;2023-11
COMP00187;2023-11-05;FOR004;PROD008;10;75.87;45.0;803.7;2023-11-25;Recebida;2023-11
COMP00188;2023-11-04;FOR015;PROD009;46;21.33;45.0;1026.18;2023-11-19;Recebida;2023-11
COMP00189;2023-11-02;FOR003;PROD010;36;53.05;57.86;1967.66;2023-11-09;Recebida;2023-11
COMP00190;2023-11-01;FOR015;PROD011;12;66.4;45.0;841.8;2023-11-16;Recebida;2023-11
COMP00191;2023-11-03;FOR007;PROD012;18;92.63;45.0;1712.34;2023-11-08;Recebida;2023-11
COMP00192;2023-11-01;FOR018;PROD013;10;102.99;45.0;1074.9;2023-11-06;Recebida;2023-11
COMP00193;2023-11-04;FOR006;PROD014;19;46.82;45.0;934.58;2023-11-09;Recebida;2023-11
COMP00194;2023-11-01;FOR004;PROD015;26;70.31;45.0;1873.06;2023-11-21;Recebida;2023-11
COMP00195;2023-11-01;FOR008;PROD016;12;62.63;45.0;796.56;2023-11-16;Recebida;2023-11
COMP00196;2023-11-03;FOR014;PROD017;10;66.16;45.0;706.6;2023-11-13;Recebida;2023-11
COMP00197;2023-11-02;FOR001;PROD018;37;24.77;45.0;961.49;2023-11-17;Recebida;2023-11
COMP00198;2023-11-02;FOR010;PROD019;35;33.87;45.11;1230.56;2023-11-17;Recebida;2023-11
COMP00199;2023-11-01;FOR004;PROD020;18;85.65;45.0;1586.7;2023-11-21;Recebida;2023-11
COMP00200;2023-11-01;FOR004;PROD021;27;69.32;45.0;1916.64;2023-11-21;Recebida;2023-11
COMP00201;2023-11-04;FOR015;PROD022;16;132.84;45.0;2170.44;2023-11-19;Recebida;2023-11
COMP00202;2023-11-05;FOR015;PROD023;11;62.55;45.0;733.05;2023-11-20;Recebida;2023-11
COMP00203;2023-11-02;FOR018;PROD024;22;81.33;45.0;1834.26;2023-11-07;Recebida;2023-11
COMP00204;2023-11-05;FOR012;PROD025;21;64.44;45.0;1398.24;2023-11-12;Recebida;2023-11
COMP00205;2023-11-01;FOR002;PROD027;20;64.46;45.0;1334.2;2023-11-08;Recebida;2023-11
COMP00206;2023-11-03;FOR015;PROD028;42;54.43;45.4;2331.46;2023-11-18;Recebida;2023-11
COMP00207;2023-11-03;FOR014;PROD029;16;68.72;45.0;1144.52;2023-11-13;Recebida;2023-11
COMP00208;2023-11-01;FOR001;PROD030;27;109.41;45.0;2999.07;2023-11-16;Recebida;2023-11
COMP00209;2023-11-05;FOR016;PROD031;12;115.54;45.0;1431.48;2023-11-25;Recebida;2023-11
COMP00210;2023-11-05;FOR004;PROD032;10;48.82;45.0;533.2;2023-11-25;Recebida;2023-11
COMP00211;2023-11-01;FOR016;PROD033;15;82.27;45.0;1279.05;2023-11-21;Recebida;2023-11
COMP00212;2023-11-01;FOR002;PROD034;20;54.05;45.0;1126.0;2023-11-08;Recebida;2023-11
COMP00213;2023-11-04;FOR008;PROD035;11;72.57;45.0;843.27;2023-11-19;Recebida;2023-11
COMP00214;2023-11-02;FOR004;PROD036;28;33.78;45.0;990.84;2023-11-22;Recebida;2023-11
COMP00215;2023-11-05;FOR006;PROD037;33;46.71;45.0;1586.43;2023-11-10;Recebida;2023-11
COMP00216;2023-11-04;FOR016;PROD038;16;66.31;45.0;1105.96;2023-11-24;Recebida;2023-11
COMP00217;2023-11-05;FOR011;PROD039;17;99.32;45.0;1733.44;2023-11-17;Recebida;2023-11
COMP00218;2023-11-04;FOR002;PROD040;13;110.81;45.0;1485.53;2023-11-11;Recebida;2023-11
COMP00219;2023-11-01;FOR017;PROD041;23;74.51;45.0;1758.73;2023-11-16;Recebida;2023-11
COMP00220;2023-11-02;FOR009;PROD042;24;76.38;45.0;1878.12;2023-11-12;Recebida;2023-11
COMP00221;2023-11-01;FOR002;PROD043;10;82.42;45.0;869.2;2023-11-08;Recebida;2023-11
COMP00222;2023-11-05;FOR001;PROD044;20;56.87;45.0;1182.4;2023-11-20;Recebida;2023-11
COMP00223;2023-11-05;FOR017;PROD045;50;27.43;57.63;1429.13;2023-11-20;Recebida;2023-11
COMP00224;2023-11-05;FOR001;PROD046;23;50.36;45.0;1203.28;2023-11-20;Recebida;2023-11
COMP00225;2023-11-04;FOR009;PROD047;14;65.96;45.0;968.44;2023-11-14;Recebida;2023-11
COMP00226;2023-11-01;FOR015;PROD048;22;65.03;45.0;1475.66;2023-11-16;Recebida;2023-11
COMP00227;2023-11-04;FOR012;PROD049;10;108.44;45.0;1129.4;2023-11-11;Recebida;2023-11
COMP00228;2023-11-05;FOR010;PROD050;20;71.95;45.0;1484.0;2023-11-20;Recebida;2023-11
COMP00229;2023-11-04;FOR008;PROD051;20;72.1;45.0;1487.0;2023-11-19;Recebida;2023-11
COMP00230;2023-11-04;FOR007;PROD052;24;74.07;45.0;1822.68;2023-11-09;Recebida;2023-11
COMP00231;2023-11-01;FOR002;PROD053;15;68.55;45.0;1073.25;2023-11-08;Recebida;2023-11
COMP00232;2023-11-03;FOR011;PROD054;42;27.7;61.03;1224.43;2023-11-15;Recebida;2023-11
COMP00233;2023-11-03;FOR015;PROD055;37;35.44;45.0;1356.28;2023-11-18;Recebida;2023-11
COMP00234;2023-11-01;FOR005;PROD056;20;63.88;45.0;1322.6;2023-11-21;Recebida;2023-11
COMP00235;2023-11-04;FOR017;PROD057;23;99.67;45.0;2337.41;2023-11-19;Recebida;2023-11
COMP00236;2023-11-03;FOR016;PROD059;18;52.41;45.0;988.38;2023-11-23;Recebida;2023-11
COMP00237;2023-11-03;FOR003;PROD060;14;82.91;45.0;1205.74;2023-11-10;Recebida;2023-11
COMP00238;2023-11-02;FOR007;PROD061;10;54.8;45.0;593.0;2023-11-07;Recebida;2023-11
COMP00239;2023-11-05;FOR004;PROD062;20;68.42;45.0;1413.4;2023-11-25;Recebida;2023-11
COMP00240;2023-11-04;FOR005;PROD063;23;56.92;45.0;1354.16;2023-11-24;Recebida;2023-11
COMP00241;2023-11-05;FOR002;PROD064;36;40.64;48.67;1511.71;2023-11-12;Recebida;2023-11
COMP00242;2023-11-03;FOR010;PROD065;29;77.42;45.0;2290.18;2023-11-18;Recebida;2023-11
COMP00243;2023-11-01;FOR018;PROD066;28;69.36;49.44;1991.52;2023-11-06;Recebida;2023-11
COMP00244;2023-11-03;FOR014;PROD068;26;74.9;45.0;1992.4;2023-11-13;Recebida;2023-11
COMP00245;2023-11-05;FOR011;PROD069;23;83.07;45.0;1955.61;2023-11-17;Recebida;2023-11
COMP00246;2023-11-03;FOR012;PROD070;16;88.8;45.0;1465.8;2023-11-10;Recebida;2023-11
COMP00247;2023-11-02;FOR015;PROD071;10;64.09;45.0;685.9;2023-11-17;Recebida;2023-11
COMP00248;2023-11-02;FOR014;PROD072;17;24.11;45.0;454.87;2023-11-12;Recebida;2023-11
COMP00249;2023-11-03;FOR005;PROD073;37;44.16;57.78;1691.7;2023-11-23;Recebida;2023-11
COMP00250;2023-11-01;FOR017;PROD074;15;63.7;45.0;1000.5;2023-11-16;Recebida;2023-11
COMP00251;2023-11-03;FOR011;PROD075;24;75.06;45.0;1846.44;2023-11-15;Recebida;2023-11
COMP00252;2023-11-03;FOR018;PROD077;14;69.78;45.0;1021.92;2023-11-08;Recebida;2023-11
COMP00253;2023-11-03;FOR011;PROD078;20;74.56;45.0;1536.2;2023-11-15;Recebida;2023-11
COMP00254;2023-11-05;FOR014;PROD079;10;63.9;45.0;684.0;2023-11-15;Recebida;2023-11
