id;sku;nome;categoria;cor;tamanho;fornecedor_id;custo;preco_venda;margem_percentual;estoque_minimo;ativo
PROD037;SKU-1037;Calça Bege;Calças;Bege;P;FOR016;173;465.86;169.3;20;True
PROD038;SKU-1038;Calça Bege;Calças;Bege;M;FOR009;60;137.27;128.8;15;True
PROD039;SKU-1039;Calça Bege;Calças;Bege;G;FOR005;27;57.26;112.1;10;True
PROD040;SKU-1040;Calça Bege;Calças;Bege;GG;FOR008;92;216.48;135.3;30;True
PROD041;SKU-1041;Vestido Floral;Vestidos;Floral;PP;FOR013;132;261.74;98.3;15;True
PROD042;SKU-1042;Vestido Floral;Vestidos;Floral;P;FOR013;59;109.51;85.6;10;True
PROD043;SKU-1043;Vestido Floral;Vestidos;Floral;M;FOR015;72;124.41;72.8;15;True
PROD044;SKU-1044;Vestido Floral;Vestidos;Floral;G;FOR010;43;114.13;165.4;15;True
PROD045;SKU-1045;Vestido Floral;Vestidos;Floral;GG;FOR011;102;233.84;129.3;25;True
PROD046;SKU-1046;Vestido Preto;Vestidos;Preto;PP;FOR006;151;404.19;167.7;15;True
PROD047;SKU-1047;Vestido Preto;Vestidos;Preto;P;FOR007;72;190.31;164.3;30;True
PROD048;SKU-1048;Vestido Preto;Vestidos;Preto;M;FOR017;36;85.11;136.4;10;True
PROD049;SKU-1049;Vestido Preto;Vestidos;Preto;G;FOR003;27;57.41;112.6;25;True
PROD050;SKU-1050;Vestido Preto;Vestidos;Preto;GG;FOR008;170;321.78;89.3;20;True
PROD051;SKU-1051;Vestido Vermelho;Vestidos;Vermelho;PP;FOR002;179;366.05;104.5;15;True
PROD052;SKU-1052;Vestido Vermelho;Vestidos;Vermelho;P;FOR010;124;232.1;87.2;30;True
PROD053;SKU-1053;Vestido Vermelho;Vestidos;Vermelho;M;FOR004;165;369.45;123.9;30;True
PROD054;SKU-1054;Vestido Vermelho;Vestidos;Vermelho;G;FOR011;178;314.36;76.6;30;True
PROD055;SKU-1055;Vestido Vermelho;Vestidos;Vermelho;GG;FOR017;104;210.16;102.1;30;True
PROD056;SKU-1056;Jaqueta Preta;Jaquetas;Preta;PP;FOR011;73;129.22;77.0;15;True
PROD057;SKU-1057;Jaqueta Preta;Jaquetas;Preta;P;FOR014;115;203.76;77.2;10;True
PROD058;SKU-1058;Jaqueta Preta;Jaquetas;Preta;M;FOR015;44;106.34;141.7;30;True
PROD059;SKU-1059;Jaqueta Preta;Jaquetas;Preta;G;FOR015;30;73.44;144.8;25;True
PROD060;SKU-1060;Jaqueta Preta;Jaquetas;Preta;GG;FOR013;157;355.5;126.4;10;True
PROD061;SKU-1061;Jaqueta Jeans;Jaquetas;Jeans;PP;FOR014;82;141.65;72.7;10;True
PROD062;SKU-1062;Jaqueta Jeans;Jaquetas;Jeans;P;FOR013;88;176.28;100.3;25;True
PROD063;SKU-1063;Jaqueta Jeans;Jaquetas;Jeans;M;FOR013;141;363.41;157.7;25;True
PROD064;SKU-1064;Jaqueta Jeans;Jaquetas;Jeans;G;FOR003;108;241.43;123.5;10;True
PROD065;SKU-1065;Jaqueta Jeans;Jaquetas;Jeans;GG;FOR012;147;277.85;89.0;30;True
PROD066;SKU-1066;Jaqueta Verde;Jaquetas;Verde;PP;FOR009;80;204.6;155.8;15;True
PROD067;SKU-1067;Jaqueta Verde;Jaquetas;Verde;P;FOR013;148;400.84;170.8;20;True
PROD068;SKU-1068;Jaqueta Verde;Jaquetas;Verde;M;FOR001;122;318.09;160.7;15;True
PROD069;SKU-1069;Jaqueta Verde;Jaquetas;Verde;G;FOR013;105;201.84;92.2;15;True
PROD070;SKU-1070;Jaqueta Verde;Jaquetas;Verde;GG;FOR003;48;110.81;130.9;30;True
PROD071;SKU-1071;Bermuda Jeans;Bermudas;Jeans;PP;FOR013;102;242.96;138.2;25;True
PROD072;SKU-1072;Bermuda Jeans;Bermudas;Jeans;P;FOR006;52;145.08;179.0;25;True
PROD073;SKU-1073;Bermuda Jeans;Bermudas;Jeans;M;FOR012;77;188.38;144.6;30;True
PROD074;SKU-1074;Bermuda Jeans;Bermudas;Jeans;G;FOR001;73;145.05;98.7;20;True
PROD075;SKU-1075;Bermuda Jeans;Bermudas;Jeans;GG;FOR005;156;308.83;98.0;30;True
PROD076;SKU-1076;Bermuda Caqui;Bermudas;Caqui;PP;FOR009;76;149.13;96.2;25;True
PROD077;SKU-1077;Bermuda Caqui;Bermudas;Caqui;P;FOR015;65;177.76;173.5;25;True
PROD078;SKU-1078;Bermuda Caqui;Bermudas;Caqui;M;FOR009;136;300.12;120.7;15;True
PROD079;SKU-1079;Bermuda Caqui;Bermudas;Caqui;G;FOR004;123;293.22;138.4;15;True
PROD080;SKU-1080;Bermuda Caqui;Bermudas;Caqui;GG;FOR012;80;139.03;73.8;10;True
