id_movimentacao;data_movimentacao;tipo;categoria;descricao;valor;origem;origem_id;competencia
MOV000042;2023-08-19;Receita;Vendas;Recebimento da venda VEN000011;67.4;Conta a Receber;CR000012;2023-08
MOV000043;2023-08-02;Receita;Vendas;Recebimento da venda VEN000012;135.07;Conta a Receber;CR000013;2023-08
MOV000044;2023-09-02;Receita;Vendas;Recebimento da venda VEN000013;202.6;Conta a Receber;CR000014;2023-08
MOV000045;2023-09-30;Receita;Vendas;Recebimento da venda VEN000013;202.61;Conta a Receber;CR000015;2023-08
MOV000046;2023-08-25;Receita;Vendas;Recebimento da venda VEN000014;270.14;Conta a Receber;CR000016;2023-08
MOV000047;2023-09-20;Receita;Vendas;Recebimento da venda VEN000015;270.14;Conta a Receber;CR000017;2023-08
MOV000048;2023-08-15;Receita;Vendas;Recebimento da venda VEN000016;270.14;Conta a Receber;CR000018;2023-08
MOV000049;2023-08-10;Receita;Vendas;Recebimento da venda VEN000017;135.07;Conta a Receber;CR000019;2023-08
MOV000050;2023-09-30;Receita;Vendas;Recebimento da venda VEN000018;176.66;Conta a Receber;CR000020;2023-08
MOV000051;2023-09-28;Receita;Vendas;Recebimento da venda VEN000019;176.66;Conta a Receber;CR000021;2023-08
MOV000052;2023-09-11;Receita;Vendas;Recebimento da venda VEN000020;167.83;Conta a Receber;CR000022;2023-08
MOV000053;2023-09-27;Receita;Vendas;Recebimento da venda VEN000021;111.88;Conta a Receber;CR000023;2023-08
MOV000054;2023-10-26;Receita;Vendas;Recebimento da venda VEN000021;111.88;Conta a Receber;CR000024;2023-08
MOV000055;2023-11-26;Receita;Vendas;Recebimento da venda VEN000021;111.89;Conta a Receber;CR000025;2023-08
MOV000056;2023-09-28;Receita;Vendas;Recebimento da venda VEN000022;167.83;Conta a Receber;CR000026;2023-08
MOV000057;2023-09-28;Receita;Vendas;Recebimento da venda VEN000023;176.66;Conta a Receber;CR000027;2023-08
MOV000058;2023-09-01;Receita;Vendas;Recebimento da venda VEN000024;167.83;Conta a Receber;CR000028;2023-08
MOV000059;2023-08-06;Receita;Vendas;Recebimento da venda VEN000025;353.32;Conta a Receber;CR000029;2023-08
MOV000060;2023-09-08;Receita;Vendas;Recebimento da venda VEN000026;259.98;Conta a Receber;CR000030;2023-08
MOV000061;2023-08-28;Receita;Vendas;Recebimento da venda VEN000027;519.96;Conta a Receber;CR000031;2023-08
MOV000062;2023-08-09;Receita;Vendas;Recebimento da venda VEN000028;246.98;Conta a Receber;CR000032;2023-08
MOV000063;2023-08-24;Receita;Vendas;Recebimento da venda VEN000029;259.98;Conta a Receber;CR000033;2023-08
MOV000064;2023-08-15;Receita;Vendas;Recebimento da venda VEN000030;259.98;Conta a Receber;CR000034;2023-08
MOV000065;2023-09-19;Receita;Vendas;Recebimento da venda VEN000031;259.98;Conta a Receber;CR000035;2023-08
MOV000066;2023-09-13;Receita;Vendas;Recebimento da venda VEN000032;1039.92;Conta a Receber;CR000036;2023-08
MOV000067;2023-09-29;Receita;Vendas;Recebimento da venda VEN000033;246.98;Conta a Receber;CR000037;2023-08
MOV000068;2023-08-23;Receita;Vendas;Recebimento da venda VEN000034;246.98;Conta a Receber;CR000038;2023-08
MOV000069;2023-08-12;Receita;Vendas;Recebimento da venda VEN000035;519.96;Conta a Receber;CR000039;2023-08
MOV000070;2023-09-05;Receita;Vendas;Recebimento da venda VEN000036;259.98;Conta a Receber;CR000040;2023-08
MOV000071;2023-08-12;Receita;Vendas;Recebimento da venda VEN000037;93.61;Conta a Receber;CR000041;2023-08
MOV000072;2023-08-10;Receita;Vendas;Recebimento da venda VEN000038;93.61;Conta a Receber;CR000042;2023-08
MOV000073;2023-08-04;Receita;Vendas;Recebimento da venda VEN000039;88.93;Conta a Receber;CR000043;2023-08
MOV000074;2023-08-07;Receita;Vendas;Recebimento da venda VEN000040;88.93;Conta a Receber;CR000044;2023-08
MOV000075;2023-08-29;Receita;Vendas;Recebimento da venda VEN000041;187.22;Conta a Receber;CR000045;2023-08
MOV000076;2023-08-30;Receita;Vendas;Recebimento da venda VEN000042;187.22;Conta a Receber;CR000046;2023-08
MOV000077;2023-09-30;Receita;Vendas;Recebimento da venda VEN000043;93.61;Conta a Receber;CR000047;2023-08
MOV000078;2023-08-06;Receita;Vendas;Recebimento da venda VEN000044;93.61;Conta a Receber;CR000048;2023-08
MOV000079;2023-09-21;Receita;Vendas;Recebimento da venda VEN000045;187.22;Conta a Receber;CR000049;2023-08
MOV000080;2023-09-16;Receita;Vendas;Recebimento da venda VEN000046;93.61;Conta a Receber;CR000050;2023-08
MOV000081;2023-09-10;Receita;Vendas;Recebimento da venda VEN000047;186.62;Conta a Receber;CR000051;2023-08
MOV000082;2023-10-10;Receita;Vendas;Recebimento da venda VEN000047;186.62;Conta a Receber;CR000052;2023-08
MOV000083;2023-09-29;Receita;Vendas;Recebimento da venda VEN000048;87.31;Conta a Receber;CR000053;2023-08
MOV000084;2023-10-29;Receita;Vendas;Recebimento da venda VEN000048;87.31;Conta a Receber;CR000054;2023-08
MOV000085;2023-11-28;Receita;Vendas;Recebimento da venda VEN000048;87.3;Conta a Receber;CR000055;2023-08
MOV000086;2023-08-04;Receita;Vendas;Recebimento da venda VEN000049;130.96;Conta a Receber;CR000056;2023-08
MOV000087;2023-08-26;Receita;Vendas;Recebimento da venda VEN000050;130.96;Conta a Receber;CR000057;2023-08
MOV000088;2023-09-21;Receita;Vendas;Recebimento da venda VEN000051;392.88;Conta a Receber;CR000058;2023-08
MOV000089;2023-08-22;Receita;Vendas;Recebimento da venda VEN000052;252.7;Conta a Receber;CR000059;2023-08
MOV000090;2023-09-01;Receita;Vendas;Recebimento da venda VEN000053;126.35;Conta a Receber;CR000060;2023-08
MOV000091;2023-08-15;Receita;Vendas;Recebimento da venda VEN000054;126.35;Conta a Receber;CR000061;2023-08
MOV000092;2023-09-28;Receita;Vendas;Recebimento da venda VEN000055;126.35;Conta a Receber;CR000062;2023-08
MOV000093;2023-08-20;Receita;Vendas;Recebimento da venda VEN000056;120.03;Conta a Receber;CR000063;2023-08
MOV000094;2023-09-10;Receita;Vendas;Recebimento da venda VEN000057;40.01;Conta a Receber;CR000064;2023-08
MOV000095;2023-10-08;Receita;Vendas;Recebimento da venda VEN000057;40.01;Conta a Receber;CR000065;2023-08
MOV000096;2023-11-09;Receita;Vendas;Recebimento da venda VEN000057;40.01;Conta a Receber;CR000066;2023-08
MOV000097;2023-09-11;Receita;Vendas;Recebimento da venda VEN000058;63.17;Conta a Receber;CR000067;2023-08
MOV000098;2023-10-10;Receita;Vendas;Recebimento da venda VEN000058;63.18;Conta a Receber;CR000068;2023-08
MOV000099;2023-08-12;Receita;Vendas;Recebimento da venda VEN000059;126.35;Conta a Receber;CR000069;2023-08
MOV000100;2023-09-14;Receita;Vendas;Recebimento da venda VEN000060;80.02;Conta a Receber;CR000070;2023-08
MOV000101;2023-10-14;Receita;Vendas;Recebimento da venda VEN000060;80.02;Conta a Receber;CR000071;2023-08
MOV000102;2023-11-11;Receita;Vendas;Recebimento da venda VEN000060;80.03;Conta a Receber;CR000072;2023-08
MOV000103;2023-08-27;Receita;Vendas;Recebimento da venda VEN000061;379.05;Conta a Receber;CR000073;2023-08
MOV000104;2023-09-30;Receita;Vendas;Recebimento da venda VEN000062;120.03;Conta a Receber;CR000074;2023-08
MOV000105;2023-08-27;Receita;Vendas;Recebimento da venda VEN000063;145.52;Conta a Receber;CR000075;2023-08
MOV000106;2023-08-24;Receita;Vendas;Recebimento da venda VEN000064;436.56;Conta a Receber;CR000076;2023-08
MOV000107;2023-09-26;Receita;Vendas;Recebimento da venda VEN000065;72.76;Conta a Receber;CR000077;2023-08
MOV000108;2023-10-28;Receita;Vendas;Recebimento da venda VEN000065;72.76;Conta a Receber;CR000078;2023-08
MOV000109;2023-08-04;Receita;Vendas;Recebimento da venda VEN000066;138.24;Conta a Receber;CR000079;2023-08
MOV000110;2023-08-09;Receita;Vendas;Recebimento da venda VEN000067;145.52;Conta a Receber;CR000080;2023-08
MOV000111;2023-08-12;Receita;Vendas;Recebimento da venda VEN000068;145.52;Conta a Receber;CR000081;2023-08
MOV000112;2023-08-31;Receita;Vendas;Recebimento da venda VEN000069;145.52;Conta a Receber;CR000082;2023-08
MOV000113;2023-08-14;Receita;Vendas;Recebimento da venda VEN000070;145.52;Conta a Receber;CR000083;2023-08
MOV000114;2023-09-29;Receita;Vendas;Recebimento da venda VEN000071;72.76;Conta a Receber;CR000084;2023-08
MOV000115;2023-10-29;Receita;Vendas;Recebimento da venda VEN000071;72.76;Conta a Receber;CR000085;2023-08
MOV000116;2023-09-13;Receita;Vendas;Recebimento da venda VEN000072;72.76;Conta a Receber;CR000086;2023-08
MOV000117;2023-10-15;Receita;Vendas;Recebimento da venda VEN000072;72.76;Conta a Receber;CR000087;2023-08
MOV000118;2023-08-24;Receita;Vendas;Recebimento da venda VEN000073;48.23;Conta a Receber;CR000088;2023-08
MOV000119;2023-09-21;Receita;Vendas;Recebimento da venda VEN000074;24.11;Conta a Receber;CR000089;2023-08
MOV000120;2023-10-20;Receita;Vendas;Recebimento da venda VEN000074;24.12;Conta a Receber;CR000090;2023-08
MOV000121;2023-08-10;Receita;Vendas;Recebimento da venda VEN000075;48.23;Conta a Receber;CR000091;2023-08
MOV000122;2023-08-23;Receita;Vendas;Recebimento da venda VEN000076;45.82;Conta a Receber;CR000092;2023-08
MOV000123;2023-08-23;Receita;Vendas;Recebimento da venda VEN000077;48.23;Conta a Receber;CR000093;2023-08
MOV000124;2023-09-04;Receita;Vendas;Recebimento da venda VEN000078;48.23;Conta a Receber;CR000094;2023-08
MOV000125;2023-10-03;Receita;Vendas;Recebimento da venda VEN000078;48.23;Conta a Receber;CR000095;2023-08
MOV000126;2023-08-19;Receita;Vendas;Recebimento da venda VEN000079;144.69;Conta a Receber;CR000096;2023-08
MOV000127;2023-08-21;Receita;Vendas;Recebimento da venda VEN000080;45.82;Conta a Receber;CR000097;2023-08
MOV000128;2023-09-08;Receita;Vendas;Recebimento da venda VEN000081;24.11;Conta a Receber;CR000098;2023-08
MOV000129;2023-10-08;Receita;Vendas;Recebimento da venda VEN000081;24.12;Conta a Receber;CR000099;2023-08
MOV000130;2023-09-08;Receita;Vendas;Recebimento da venda VEN000082;24.11;Conta a Receber;CR000100;2023-08
MOV000131;2023-10-08;Receita;Vendas;Recebimento da venda VEN000082;24.12;Conta a Receber;CR000101;2023-08
MOV000132;2023-08-16;Receita;Vendas;Recebimento da venda VEN000083;144.69;Conta a Receber;CR000102;2023-08
MOV000133;2023-09-02;Receita;Vendas;Recebimento da venda VEN000084;15.27;Conta a Receber;CR000103;2023-08
MOV000134;2023-10-03;Receita;Vendas;Recebimento da venda VEN000084;15.27;Conta a Receber;CR000104;2023-08
MOV000135;2023-11-01;Receita;Vendas;Recebimento da venda VEN000084;15.28;Conta a Receber;CR000105;2023-08
MOV000136;2023-09-17;Receita;Vendas;Recebimento da venda VEN000085;48.23;Conta a Receber;CR000106;2023-08
MOV000137;2023-08-30;Receita;Vendas;Recebimento da venda VEN000086;48.23;Conta a Receber;CR000107;2023-08
MOV000138;2023-08-11;Receita;Vendas;Recebimento da venda VEN000087;96.46;Conta a Receber;CR000108;2023-08
MOV000139;2023-09-19;Receita;Vendas;Recebimento da venda VEN000088;48.23;Conta a Receber;CR000109;2023-08
MOV000140;2023-10-20;Receita;Vendas;Recebimento da venda VEN000088;48.23;Conta a Receber;CR000110;2023-08
MOV000141;2023-09-09;Receita;Vendas;Recebimento da venda VEN000089;15.27;Conta a Receber;CR000111;2023-08
MOV000142;2023-10-09;Receita;Vendas;Recebimento da venda VEN000089;15.27;Conta a Receber;CR000112;2023-08
MOV000143;2023-11-07;Receita;Vendas;Recebimento da venda VEN000089;15.28;Conta a Receber;CR000113;2023-08
MOV000144;2023-08-13;Receita;Vendas;Recebimento da venda VEN000090;134.03;Conta a Receber;CR000114;2023-08
MOV000145;2023-08-13;Receita;Vendas;Recebimento da venda VEN000091;268.06;Conta a Receber;CR000115;2023-08
MOV000146;2023-08-24;Receita;Vendas;Recebimento da venda VEN000092;134.03;Conta a Receber;CR000116;2023-08
MOV000147;2023-09-07;Receita;Vendas;Recebimento da venda VEN000093;127.33;Conta a Receber;CR000117;2023-08
MOV000148;2023-08-25;Receita;Vendas;Recebimento da venda VEN000094;127.33;Conta a Receber;CR000118;2023-08
MOV000149;2023-08-16;Receita;Vendas;Recebimento da venda VEN000095;134.03;Conta a Receber;CR000119;2023-08
MOV000150;2023-09-28;Receita;Vendas;Recebimento da venda VEN000096;254.66;Conta a Receber;CR000120;2023-08
MOV000151;2023-08-28;Receita;Vendas;Recebimento da venda VEN000097;134.03;Conta a Receber;CR000121;2023-08
MOV000152;2023-09-22;Receita;Vendas;Recebimento da venda VEN000098;254.66;Conta a Receber;CR000122;2023-08
MOV000153;2023-08-09;Receita;Vendas;Recebimento da venda VEN000099;268.06;Conta a Receber;CR000123;2023-08
MOV000154;2023-08-30;Receita;Vendas;Recebimento da venda VEN000100;509.31;Conta a Receber;CR000124;2023-08
MOV000155;2023-08-31;Receita;Vendas;Recebimento da venda VEN000101;268.06;Conta a Receber;CR000125;2023-08
MOV000156;2023-09-26;Receita;Vendas;Recebimento da venda VEN000102;119.11;Conta a Receber;CR000126;2023-08
MOV000157;2023-09-03;Receita;Vendas;Recebimento da venda VEN000103;125.38;Conta a Receber;CR000127;2023-08
MOV000158;2023-09-28;Receita;Vendas;Recebimento da venda VEN000104;119.11;Conta a Receber;CR000128;2023-08
MOV000159;2023-10-26;Receita;Vendas;Recebimento da venda VEN000104;119.11;Conta a Receber;CR000129;2023-08
MOV000160;2023-11-25;Receita;Vendas;Recebimento da venda VEN000104;119.11;Conta a Receber;CR000130;2023-08
MOV000161;2023-08-31;Receita;Vendas;Recebimento da venda VEN000105;250.76;Conta a Receber;CR000131;2023-08
MOV000162;2023-09-04;Receita;Vendas;Recebimento da venda VEN000106;125.38;Conta a Receber;CR000132;2023-08
MOV000163;2023-08-12;Receita;Vendas;Recebimento da venda VEN000107;125.38;Conta a Receber;CR000133;2023-08
MOV000164;2023-08-16;Receita;Vendas;Recebimento da venda VEN000108;376.14;Conta a Receber;CR000134;2023-08
MOV000165;2023-08-11;Receita;Vendas;Recebimento da venda VEN000109;125.38;Conta a Receber;CR000135;2023-08
MOV000166;2023-09-27;Receita;Vendas;Recebimento da venda VEN000110;125.38;Conta a Receber;CR000136;2023-08
MOV000167;2023-09-07;Receita;Vendas;Recebimento da venda VEN000111;125.38;Conta a Receber;CR000137;2023-08
MOV000168;2023-08-04;Receita;Vendas;Recebimento da venda VEN000112;250.76;Conta a Receber;CR000138;2023-08
MOV000169;2023-09-02;Receita;Vendas;Recebimento da venda VEN000113;832.12;Conta a Receber;CR000139;2023-08
MOV000170;2023-09-04;Receita;Vendas;Recebimento da venda VEN000114;138.69;Conta a Receber;CR000140;2023-08
MOV000171;2023-10-05;Receita;Vendas;Recebimento da venda VEN000114;138.69;Conta a Receber;CR000141;2023-08
MOV000172;2023-11-03;Receita;Vendas;Recebimento da venda VEN000114;138.68;Conta a Receber;CR000142;2023-08
MOV000173;2023-09-22;Receita;Vendas;Recebimento da venda VEN000115;416.06;Conta a Receber;CR000143;2023-08
MOV000174;2023-08-06;Receita;Vendas;Recebimento da venda VEN000116;208.03;Conta a Receber;CR000144;2023-08
MOV000175;2023-08-06;Receita;Vendas;Recebimento da venda VEN000117;197.63;Conta a Receber;CR000145;2023-08
MOV000176;2023-09-04;Receita;Vendas;Recebimento da venda VEN000118;203.49;Conta a Receber;CR000146;2023-08
MOV000177;2023-08-17;Receita;Vendas;Recebimento da venda VEN000119;193.32;Conta a Receber;CR000147;2023-08
MOV000178;2023-09-08;Receita;Vendas;Recebimento da venda VEN000120;203.49;Conta a Receber;CR000148;2023-08
MOV000179;2023-09-24;Receita;Vendas;Recebimento da venda VEN000121;406.98;Conta a Receber;CR000149;2023-08
MOV000180;2023-09-22;Receita;Vendas;Recebimento da venda VEN000122;406.98;Conta a Receber;CR000150;2023-08
MOV000181;2023-09-03;Receita;Vendas;Recebimento da venda VEN000123;67.83;Conta a Receber;CR000151;2023-08
MOV000182;2023-10-02;Receita;Vendas;Recebimento da venda VEN000123;67.83;Conta a Receber;CR000152;2023-08
MOV000183;2023-11-03;Receita;Vendas;Recebimento da venda VEN000123;67.83;Conta a Receber;CR000153;2023-08
MOV000184;2023-09-18;Receita;Vendas;Recebimento da venda VEN000124;67.83;Conta a Receber;CR000154;2023-08
MOV000185;2023-10-18;Receita;Vendas;Recebimento da venda VEN000124;67.83;Conta a Receber;CR000155;2023-08
MOV000186;2023-11-17;Receita;Vendas;Recebimento da venda VEN000124;67.83;Conta a Receber;CR000156;2023-08
MOV000187;2023-09-14;Receita;Vendas;Recebimento da venda VEN000125;203.49;Conta a Receber;CR000157;2023-08
MOV000188;2023-09-25;Receita;Vendas;Recebimento da venda VEN000126;203.49;Conta a Receber;CR000158;2023-08
MOV000189;2023-09-24;Receita;Vendas;Recebimento da venda VEN000127;135.66;Conta a Receber;CR000159;2023-08
MOV000190;2023-10-24;Receita;Vendas;Recebimento da venda VEN000127;135.66;Conta a Receber;CR000160;2023-08
MOV000191;2023-11-23;Receita;Vendas;Recebimento da venda VEN000127;135.66;Conta a Receber;CR000161;2023-08
MOV000192;2023-09-13;Receita;Vendas;Recebimento da venda VEN000128;143.96;Conta a Receber;CR000162;2023-08
MOV000193;2023-10-13;Receita;Vendas;Recebimento da venda VEN000128;143.96;Conta a Receber;CR000163;2023-08
MOV000194;2023-11-13;Receita;Vendas;Recebimento da venda VEN000128;143.96;Conta a Receber;CR000164;2023-08
MOV000195;2023-09-01;Receita;Vendas;Recebimento da venda VEN000129;215.94;Conta a Receber;CR000165;2023-08
MOV000196;2023-09-04;Receita;Vendas;Recebimento da venda VEN000130;51.28;Conta a Receber;CR000166;2023-08
MOV000197;2023-10-02;Receita;Vendas;Recebimento da venda VEN000130;51.29;Conta a Receber;CR000167;2023-08
MOV000198;2023-08-07;Receita;Vendas;Recebimento da venda VEN000131;107.97;Conta a Receber;CR000168;2023-08
MOV000199;2023-08-29;Receita;Vendas;Recebimento da venda VEN000132;215.94;Conta a Receber;CR000169;2023-08
MOV000200;2023-08-30;Receita;Vendas;Recebimento da venda VEN000133;161.35;Conta a Receber;CR000170;2023-08
MOV000201;2023-08-10;Receita;Vendas;Recebimento da venda VEN000134;322.7;Conta a Receber;CR000171;2023-08
MOV000202;2023-09-27;Receita;Vendas;Recebimento da venda VEN000135;80.67;Conta a Receber;CR000172;2023-08
MOV000203;2023-10-27;Receita;Vendas;Recebimento da venda VEN000135;80.68;Conta a Receber;CR000173;2023-08
MOV000204;2023-08-25;Receita;Vendas;Recebimento da venda VEN000136;322.7;Conta a Receber;CR000174;2023-08
MOV000205;2023-08-02;Receita;Vendas;Recebimento da venda VEN000137;232.22;Conta a Receber;CR000175;2023-08
MOV000206;2023-08-02;Receita;Vendas;Recebimento da venda VEN000138;122.22;Conta a Receber;CR000176;2023-08
MOV000207;2023-09-05;Receita;Vendas;Recebimento da venda VEN000139;122.22;Conta a Receber;CR000177;2023-08
MOV000208;2023-08-26;Receita;Vendas;Recebimento da venda VEN000140;122.22;Conta a Receber;CR000178;2023-08
MOV000209;2023-09-12;Receita;Vendas;Recebimento da venda VEN000141;58.05;Conta a Receber;CR000179;2023-08
MOV000210;2023-10-13;Receita;Vendas;Recebimento da venda VEN000141;58.06;Conta a Receber;CR000180;2023-08
MOV000211;2023-08-23;Receita;Vendas;Recebimento da venda VEN000142;122.22;Conta a Receber;CR000181;2023-08
MOV000212;2023-08-29;Receita;Vendas;Recebimento da venda VEN000143;116.11;Conta a Receber;CR000182;2023-08
MOV000213;2023-08-18;Receita;Vendas;Recebimento da venda VEN000144;139.68;Conta a Receber;CR000183;2023-08
MOV000214;2023-08-05;Receita;Vendas;Recebimento da venda VEN000145;139.68;Conta a Receber;CR000184;2023-08
MOV000215;2023-09-15;Receita;Vendas;Recebimento da venda VEN000146;419.04;Conta a Receber;CR000185;2023-08
MOV000216;2023-08-24;Receita;Vendas;Recebimento da venda VEN000147;279.36;Conta a Receber;CR000186;2023-08
MOV000217;2023-09-25;Receita;Vendas;Recebimento da venda VEN000148;132.7;Conta a Receber;CR000187;2023-08
MOV000218;2023-09-16;Receita;Vendas;Recebimento da venda VEN000149;69.84;Conta a Receber;CR000188;2023-08
MOV000219;2023-10-18;Receita;Vendas;Recebimento da venda VEN000149;69.84;Conta a Receber;CR000189;2023-08
MOV000220;2023-08-13;Receita;Vendas;Recebimento da venda VEN000150;139.68;Conta a Receber;CR000190;2023-08
MOV000221;2023-09-22;Receita;Vendas;Recebimento da venda VEN000151;265.39;Conta a Receber;CR000191;2023-08
MOV000222;2023-08-01;Receita;Vendas;Recebimento da venda VEN000152;139.68;Conta a Receber;CR000192;2023-08
MOV000223;2023-09-04;Receita;Vendas;Recebimento da venda VEN000153;139.68;Conta a Receber;CR000193;2023-08
MOV000224;2023-09-29;Receita;Vendas;Recebimento da venda VEN000154;279.36;Conta a Receber;CR000194;2023-08
MOV000225;2023-09-01;Receita;Vendas;Recebimento da venda VEN000155;46.56;Conta a Receber;CR000195;2023-08
MOV000226;2023-10-01;Receita;Vendas;Recebimento da venda VEN000155;46.56;Conta a Receber;CR000196;2023-08
MOV000227;2023-10-31;Receita;Vendas;Recebimento da venda VEN000155;46.56;Conta a Receber;CR000197;2023-08
MOV000228;2023-09-24;Receita;Vendas;Recebimento da venda VEN000156;52.59;Conta a Receber;CR000198;2023-08
MOV000229;2023-09-15;Receita;Vendas;Recebimento da venda VEN000157;105.18;Conta a Receber;CR000199;2023-08
MOV000230;2023-09-01;Receita;Vendas;Recebimento da venda VEN000158;52.59;Conta a Receber;CR000200;2023-08
MOV000231;2023-08-19;Receita;Vendas;Recebimento da venda VEN000159;52.59;Conta a Receber;CR000201;2023-08
MOV000232;2023-09-02;Receita;Vendas;Recebimento da venda VEN000160;105.18;Conta a Receber;CR000202;2023-08
MOV000233;2023-09-24;Receita;Vendas;Recebimento da venda VEN000161;105.18;Conta a Receber;CR000203;2023-08
MOV000234;2023-09-12;Receita;Vendas;Recebimento da venda VEN000162;52.59;Conta a Receber;CR000204;2023-08
MOV000235;2023-08-15;Receita;Vendas;Recebimento da venda VEN000163;52.59;Conta a Receber;CR000205;2023-08
