id_venda;data_venda;cliente_id;produto_id;canal_venda;quantidade;preco_unitario;valor_bruto;desconto_percentual;valor_desconto;valor_liquido;custo_total;lucro_bruto;margem_percentual;status;competencia
VEN000020;2023-08-12;CLI062;PROD003;E-commerce;1;176.66;176.66;5.0;8.83;167.83;83.03;84.8;50.5;Concluída;2023-08
VEN000021;2023-08-27;CLI077;PROD003;Loja Física;2;176.66;353.32;5.0;17.67;335.65;166.06;169.59;50.5;Concluída;2023-08
VEN000022;2023-08-29;CLI094;PROD003;Loja Física;1;176.66;176.66;5.0;8.83;167.83;83.03;84.8;50.5;Concluída;2023-08
VEN000023;2023-08-28;CLI086;PROD003;Loja Física;1;176.66;176.66;0.0;0.0;176.66;83.03;93.63;53.0;Concluída;2023-08
VEN000024;2023-08-31;CLI051;PROD003;Loja Física;1;176.66;176.66;5.0;8.83;167.83;83.03;84.8;50.5;Concluída;2023-08
VEN000025;2023-08-04;CLI076;PROD003;E-commerce;2;176.66;353.32;0.0;0.0;353.32;166.06;187.26;53.0;Concluída;2023-08
VEN000026;2023-08-09;CLI113;PROD004;Loja Física;1;259.98;259.98;0.0;0.0;259.98;131.07;128.91;49.6;Concluída;2023-08
VEN000027;2023-08-27;CLI001;PROD004;Loja Física;2;259.98;519.96;0.0;0.0;519.96;262.14;257.82;49.6;Concluída;2023-08
VEN000028;2023-08-09;CLI006;PROD004;Loja Física;1;259.98;259.98;5.0;13.0;246.98;131.07;115.91;46.9;Concluída;2023-08
VEN000029;2023-08-22;CLI082;PROD004;Loja Física;1;259.98;259.98;0.0;0.0;259.98;131.07;128.91;49.6;Concluída;2023-08
VEN000030;2023-08-13;CLI002;PROD004;E-commerce;1;259.98;259.98;0.0;0.0;259.98;131.07;128.91;49.6;Concluída;2023-08
VEN000031;2023-08-20;CLI046;PROD004;Loja Física;1;259.98;259.98;0.0;0.0;259.98;131.07;128.91;49.6;Concluída;2023-08
VEN000032;2023-08-14;CLI081;PROD004;Loja Física;4;259.98;1039.92;0.0;0.0;1039.92;524.28;515.64;49.6;Concluída;2023-08
VEN000033;2023-08-30;CLI031;PROD004;Loja Física;1;259.98;259.98;5.0;13.0;246.98;131.07;115.91;46.9;Concluída;2023-08
VEN000034;2023-08-21;CLI057;PROD004;E-commerce;1;259.98;259.98;5.0;13.0;246.98;131.07;115.91;46.9;Concluída;2023-08
VEN000035;2023-08-12;CLI041;PROD004;E-commerce;2;259.98;519.96;0.0;0.0;519.96;262.14;257.82;49.6;Concluída;2023-08
VEN000036;2023-08-06;CLI041;PROD004;E-commerce;1;259.98;259.98;0.0;0.0;259.98;131.07;128.91;49.6;Concluída;2023-08
VEN000037;2023-08-12;CLI065;PROD005;Loja Física;1;93.61;93.61;0.0;0.0;93.61;46.9;46.71;49.9;Concluída;2023-08
VEN000038;2023-08-09;CLI064;PROD005;Loja Física;1;93.61;93.61;0.0;0.0;93.61;46.9;46.71;49.9;Concluída;2023-08
VEN000039;2023-08-04;CLI012;PROD005;Loja Física;1;93.61;93.61;5.0;4.68;88.93;46.9;42.03;47.3;Concluída;2023-08
VEN000040;2023-08-07;CLI115;PROD005;E-commerce;1;93.61;93.61;5.0;4.68;88.93;46.9;42.03;47.3;Concluída;2023-08
VEN000041;2023-08-27;CLI100;PROD005;Loja Física;2;93.61;187.22;0.0;0.0;187.22;93.8;93.42;49.9;Concluída;2023-08
VEN000042;2023-08-28;CLI082;PROD005;WhatsApp;2;93.61;187.22;0.0;0.0;187.22;93.8;93.42;49.9;Concluída;2023-08
VEN000043;2023-08-29;CLI111;PROD005;WhatsApp;1;93.61;93.61;0.0;0.0;93.61;46.9;46.71;49.9;Concluída;2023-08
VEN000044;2023-08-06;CLI044;PROD005;Loja Física;1;93.61;93.61;0.0;0.0;93.61;46.9;46.71;49.9;Concluída;2023-08
VEN000045;2023-08-22;CLI066;PROD005;Loja Física;2;93.61;187.22;0.0;0.0;187.22;93.8;93.42;49.9;Concluída;2023-08
VEN000046;2023-08-16;CLI006;PROD005;WhatsApp;1;93.61;93.61;0.0;0.0;93.61;46.9;46.71;49.9;Concluída;2023-08
VEN000047;2023-08-11;CLI074;PROD006;Loja Física;3;130.96;392.88;5.0;19.64;373.24;183.21;190.03;50.9;Concluída;2023-08
VEN000048;2023-08-29;CLI030;PROD006;Loja Física;2;130.96;261.92;0.0;0.0;261.92;122.14;139.78;53.4;Concluída;2023-08
VEN000049;2023-08-04;CLI115;PROD006;E-commerce;1;130.96;130.96;0.0;0.0;130.96;61.07;69.89;53.4;Concluída;2023-08
VEN000050;2023-08-25;CLI060;PROD006;Loja Física;1;130.96;130.96;0.0;0.0;130.96;61.07;69.89;53.4;Concluída;2023-08
VEN000051;2023-08-21;CLI054;PROD006;Loja Física;3;130.96;392.88;0.0;0.0;392.88;183.21;209.67;53.4;Concluída;2023-08
VEN000052;2023-08-21;CLI073;PROD007;E-commerce;2;126.35;252.7;0.0;0.0;252.7;130.54;122.16;48.3;Concluída;2023-08
VEN000053;2023-08-02;CLI110;PROD007;Loja Física;1;126.35;126.35;0.0;0.0;126.35;65.27;61.08;48.3;Concluída;2023-08
VEN000054;2023-08-15;CLI025;PROD007;Loja Física;1;126.35;126.35;0.0;0.0;126.35;65.27;61.08;48.3;Concluída;2023-08
VEN000055;2023-08-29;CLI029;PROD007;Loja Física;1;126.35;126.35;0.0;0.0;126.35;65.27;61.08;48.3;Concluída;2023-08
VEN000056;2023-08-20;CLI111;PROD007;E-commerce;1;126.35;126.35;5.0;6.32;120.03;65.27;54.76;45.6;Concluída;2023-08
VEN000057;2023-08-09;CLI057;PROD007;Loja Física;1;126.35;126.35;5.0;6.32;120.03;65.27;54.76;45.6;Concluída;2023-08
VEN000058;2023-08-10;CLI041;PROD007;E-commerce;1;126.35;126.35;0.0;0.0;126.35;65.27;61.08;48.3;Concluída;2023-08
VEN000059;2023-08-12;CLI023;PROD007;Loja Física;1;126.35;126.35;0.0;0.0;126.35;65.27;61.08;48.3;Concluída;2023-08
VEN000060;2023-08-13;CLI074;PROD007;E-commerce;2;126.35;252.7;5.0;12.63;240.07;130.54;109.53;45.6;Concluída;2023-08
VEN000061;2023-08-27;CLI112;PROD007;Loja Física;3;126.35;379.05;0.0;0.0;379.05;195.81;183.24;48.3;Concluída;2023-08
VEN000062;2023-08-31;CLI009;PROD007;E-commerce;1;126.35;126.35;5.0;6.32;120.03;65.27;54.76;45.6;Concluída;2023-08
VEN000063;2023-08-27;CLI040;PROD008;Loja Física;1;145.52;145.52;0.0;0.0;145.52;76.12;69.4;47.7;Concluída;2023-08
VEN000064;2023-08-24;CLI068;PROD008;E-commerce;3;145.52;436.56;0.0;0.0;436.56;228.36;208.2;47.7;Concluída;2023-08
VEN000065;2023-08-27;CLI014;PROD008;E-commerce;1;145.52;145.52;0.0;0.0;145.52;76.12;69.4;47.7;Concluída;2023-08
VEN000066;2023-08-04;CLI013;PROD008;Loja Física;1;145.52;145.52;5.0;7.28;138.24;76.12;62.12;44.9;Concluída;2023-08
VEN000067;2023-08-09;CLI070;PROD008;Loja Física;1;145.52;145.52;0.0;0.0;145.52;76.12;69.4;47.7;Concluída;2023-08
VEN000068;2023-08-12;CLI099;PROD008;Loja Física;1;145.52;145.52;0.0;0.0;145.52;76.12;69.4;47.7;Concluída;2023-08
VEN000069;2023-08-30;CLI074;PROD008;WhatsApp;1;145.52;145.52;0.0;0.0;145.52;76.12;69.4;47.7;Concluída;2023-08
VEN000070;2023-08-14;CLI065;PROD008;Loja Física;1;145.52;145.52;0.0;0.0;145.52;76.12;69.4;47.7;Concluída;2023-08
VEN000071;2023-08-30;CLI099;PROD008;E-commerce;1;145.52;145.52;0.0;0.0;145.52;76.12;69.4;47.7;Concluída;2023-08
VEN000072;2023-08-14;CLI055;PROD008;Loja Física;1;145.52;145.52;0.0;0.0;145.52;76.12;69.4;47.7;Concluída;2023-08
VEN000073;2023-08-24;CLI075;PROD009;Loja Física;1;48.23;48.23;0.0;0.0;48.23;21.13;27.1;56.2;Concluída;2023-08
VEN000074;2023-08-21;CLI009;PROD009;WhatsApp;1;48.23;48.23;0.0;0.0;48.23;21.13;27.1;56.2;Concluída;2023-08
VEN000075;2023-08-10;CLI080;PROD009;Loja Física;1;48.23;48.23;0.0;0.0;48.23;21.13;27.1;56.2;Concluída;2023-08
VEN000076;2023-08-23;CLI077;PROD009;E-commerce;1;48.23;48.23;5.0;2.41;45.82;21.13;24.69;53.9;Concluída;2023-08
VEN000077;2023-08-23;CLI108;PROD009;E-commerce;1;48.23;48.23;0.0;0.0;48.23;21.13;27.1;56.2;Concluída;2023-08
VEN000078;2023-08-03;CLI059;PROD009;E-commerce;2;48.23;96.46;0.0;0.0;96.46;42.26;54.2;56.2;Concluída;2023-08
VEN000079;2023-08-19;CLI025;PROD009;Loja Física;3;48.23;144.69;0.0;0.0;144.69;63.39;81.3;56.2;Concluída;2023-08
VEN000080;2023-08-20;CLI057;PROD009;Loja Física;1;48.23;48.23;5.0;2.41;45.82;21.13;24.69;53.9;Concluída;2023-08
VEN000081;2023-08-09;CLI073;PROD009;E-commerce;1;48.23;48.23;0.0;0.0;48.23;21.13;27.1;56.2;Concluída;2023-08
VEN000082;2023-08-09;CLI058;PROD009;Loja Física;1;48.23;48.23;0.0;0.0;48.23;21.13;27.1;56.2;Concluída;2023-08
VEN000083;2023-08-16;CLI003;PROD009;E-commerce;3;48.23;144.69;0.0;0.0;144.69;63.39;81.3;56.2;Concluída;2023-08
VEN000084;2023-08-03;CLI072;PROD009;Loja Física;1;48.23;48.23;5.0;2.41;45.82;21.13;24.69;53.9;Concluída;2023-08
VEN000085;2023-08-18;CLI039;PROD009;E-commerce;1;48.23;48.23;0.0;0.0;48.23;21.13;27.1;56.2;Concluída;2023-08
VEN000086;2023-08-28;CLI033;PROD009;Loja Física;1;48.23;48.23;0.0;0.0;48.23;21.13;27.1;56.2;Concluída;2023-08
VEN000087;2023-08-10;CLI104;PROD009;Loja Física;2;48.23;96.46;0.0;0.0;96.46;42.26;54.2;56.2;Concluída;2023-08
VEN000088;2023-08-20;CLI096;PROD009;Loja Física;2;48.23;96.46;0.0;0.0;96.46;42.26;54.2;56.2;Concluída;2023-08
VEN000089;2023-08-09;CLI074;PROD009;WhatsApp;1;48.23;48.23;5.0;2.41;45.82;21.13;24.69;53.9;Concluída;2023-08
VEN000090;2023-08-13;CLI004;PROD010;Loja Física;1;134.03;134.03;0.0;0.0;134.03;52.26;81.77;61.0;Concluída;2023-08
VEN000091;2023-08-13;CLI075;PROD010;Loja Física;2;134.03;268.06;0.0;0.0;268.06;104.52;163.54;61.0;Concluída;2023-08
VEN000092;2023-08-24;CLI003;PROD010;E-commerce;1;134.03;134.03;0.0;0.0;134.03;52.26;81.77;61.0;Concluída;2023-08
VEN000093;2023-08-08;CLI037;PROD010;Loja Física;1;134.03;134.03;5.0;6.7;127.33;52.26;75.07;59.0;Concluída;2023-08
VEN000094;2023-08-25;CLI066;PROD010;WhatsApp;1;134.03;134.03;5.0;6.7;127.33;52.26;75.07;59.0;Concluída;2023-08
VEN000095;2023-08-16;CLI105;PROD010;Loja Física;1;134.03;134.03;0.0;0.0;134.03;52.26;81.77;61.0;Concluída;2023-08
VEN000096;2023-08-28;CLI059;PROD010;E-commerce;2;134.03;268.06;5.0;13.4;254.66;104.52;150.14;59.0;Concluída;2023-08
VEN000097;2023-08-26;CLI029;PROD010;Loja Física;1;134.03;134.03;0.0;0.0;134.03;52.26;81.77;61.0;Concluída;2023-08
VEN000098;2023-08-23;CLI120;PROD010;E-commerce;2;134.03;268.06;5.0;13.4;254.66;104.52;150.14;59.0;Concluída;2023-08
VEN000099;2023-08-09;CLI019;PROD010;WhatsApp;2;134.03;268.06;0.0;0.0;268.06;104.52;163.54;61.0;Concluída;2023-08
VEN000100;2023-08-30;CLI116;PROD010;Loja Física;4;134.03;536.12;5.0;26.81;509.31;209.04;300.27;59.0;Concluída;2023-08
VEN000101;2023-08-31;CLI076;PROD010;Loja Física;2;134.03;268.06;0.0;0.0;268.06;104.52;163.54;61.0;Concluída;2023-08
VEN000102;2023-08-27;CLI026;PROD011;WhatsApp;1;125.38;125.38;5.0;6.27;119.11;65.58;53.53;44.9;Concluída;2023-08
VEN000103;2023-08-04;CLI105;PROD011;E-commerce;1;125.38;125.38;0.0;0.0;125.38;65.58;59.8;47.7;Concluída;2023-08
VEN000104;2023-08-27;CLI073;PROD011;Loja Física;3;125.38;376.14;5.0;18.81;357.33;196.74;160.59;44.9;Concluída;2023-08
VEN000105;2023-08-31;CLI120;PROD011;E-commerce;2;125.38;250.76;0.0;0.0;250.76;131.16;119.6;47.7;Concluída;2023-08
VEN000106;2023-08-05;CLI058;PROD011;Loja Física;1;125.38;125.38;0.0;0.0;125.38;65.58;59.8;47.7;Concluída;2023-08
VEN000107;2023-08-10;CLI107;PROD011;E-commerce;1;125.38;125.38;0.0;0.0;125.38;65.58;59.8;47.7;Concluída;2023-08
VEN000108;2023-08-16;CLI064;PROD011;Loja Física;3;125.38;376.14;0.0;0.0;376.14;196.74;179.4;47.7;Concluída;2023-08
VEN000109;2023-08-11;CLI052;PROD011;E-commerce;1;125.38;125.38;0.0;0.0;125.38;65.58;59.8;47.7;Concluída;2023-08
VEN000110;2023-08-28;CLI053;PROD011;WhatsApp;1;125.38;125.38;0.0;0.0;125.38;65.58;59.8;47.7;Concluída;2023-08
VEN000111;2023-08-08;CLI083;PROD011;E-commerce;1;125.38;125.38;0.0;0.0;125.38;65.58;59.8;47.7;Concluída;2023-08
VEN000112;2023-08-03;CLI054;PROD011;E-commerce;2;125.38;250.76;0.0;0.0;250.76;131.16;119.6;47.7;Concluída;2023-08
VEN000113;2023-08-31;CLI099;PROD012;Loja Física;4;208.03;832.12;0.0;0.0;832.12;369.36;462.76;55.6;Concluída;2023-08
VEN000114;2023-08-05;CLI051;PROD012;Loja Física;2;208.03;416.06;0.0;0.0;416.06;184.68;231.38;55.6;Concluída;2023-08
VEN000115;2023-08-21;CLI012;PROD012;Loja Física;2;208.03;416.06;0.0;0.0;416.06;184.68;231.38;55.6;Concluída;2023-08
VEN000116;2023-08-06;CLI113;PROD012;E-commerce;1;208.03;208.03;0.0;0.0;208.03;92.34;115.69;55.6;Concluída;2023-08
VEN000117;2023-08-06;CLI113;PROD012;E-commerce;1;208.03;208.03;5.0;10.4;197.63;92.34;105.29;53.3;Concluída;2023-08
VEN000118;2023-08-04;CLI005;PROD013;Loja Física;1;203.49;203.49;0.0;0.0;203.49;101.38;102.11;50.2;Concluída;2023-08
VEN000119;2023-08-17;CLI003;PROD013;E-commerce;1;203.49;203.49;5.0;10.17;193.32;101.38;91.94;47.6;Concluída;2023-08
VEN000120;2023-08-09;CLI051;PROD013;WhatsApp;1;203.49;203.49;0.0;0.0;203.49;101.38;102.11;50.2;Concluída;2023-08
VEN000121;2023-08-25;CLI112;PROD013;Loja Física;2;203.49;406.98;0.0;0.0;406.98;202.76;204.22;50.2;Concluída;2023-08
VEN000122;2023-08-23;CLI068;PROD013;WhatsApp;2;203.49;406.98;0.0;0.0;406.98;202.76;204.22;50.2;Concluída;2023-08
VEN000123;2023-08-03;CLI088;PROD013;E-commerce;1;203.49;203.49;0.0;0.0;203.49;101.38;102.11;50.2;Concluída;2023-08
VEN000124;2023-08-19;CLI041;PROD013;E-commerce;1;203.49;203.49;0.0;0.0;203.49;101.38;102.11;50.2;Concluída;2023-08
VEN000125;2023-08-15;CLI096;PROD013;Loja Física;1;203.49;203.49;0.0;0.0;203.49;101.38;102.11;50.2;Concluída;2023-08
VEN000126;2023-08-26;CLI092;PROD013;WhatsApp;1;203.49;203.49;0.0;0.0;203.49;101.38;102.11;50.2;Concluída;2023-08
VEN000127;2023-08-25;CLI044;PROD013;E-commerce;2;203.49;406.98;0.0;0.0;406.98;202.76;204.22;50.2;Concluída;2023-08
VEN000128;2023-08-14;CLI010;PROD014;E-commerce;4;107.97;431.88;0.0;0.0;431.88;184.6;247.28;57.3;Concluída;2023-08
VEN000129;2023-08-30;CLI033;PROD014;Loja Física;2;107.97;215.94;0.0;0.0;215.94;92.3;123.64;57.3;Concluída;2023-08
VEN000130;2023-08-03;CLI061;PROD014;Loja Física;1;107.97;107.97;5.0;5.4;102.57;46.15;56.42;55.0;Concluída;2023-08
VEN000131;2023-08-06;CLI026;PROD014;Loja Física;1;107.97;107.97;0.0;0.0;107.97;46.15;61.82;57.3;Concluída;2023-08
VEN000132;2023-08-29;CLI083;PROD014;E-commerce;2;107.97;215.94;0.0;0.0;215.94;92.3;123.64;57.3;Concluída;2023-08
VEN000133;2023-08-30;CLI060;PROD015;E-commerce;1;161.35;161.35;0.0;0.0;161.35;70.93;90.42;56.0;Concluída;2023-08
VEN000134;2023-08-09;CLI066;PROD015;Loja Física;2;161.35;322.7;0.0;0.0;322.7;141.86;180.84;56.0;Concluída;2023-08
VEN000135;2023-08-28;CLI028;PROD015;Loja Física;1;161.35;161.35;0.0;0.0;161.35;70.93;90.42;56.0;Concluída;2023-08
VEN000136;2023-08-24;CLI083;PROD015;Loja Física;2;161.35;322.7;0.0;0.0;322.7;141.86;180.84;56.0;Concluída;2023-08
VEN000137;2023-08-02;CLI112;PROD016;Loja Física;2;122.22;244.44;5.0;12.22;232.22;125.8;106.42;45.8;Concluída;2023-08
VEN000138;2023-08-02;CLI059;PROD016;E-commerce;1;122.22;122.22;0.0;0.0;122.22;62.9;59.32;48.5;Concluída;2023-08
VEN000139;2023-08-06;CLI041;PROD016;E-commerce;1;122.22;122.22;0.0;0.0;122.22;62.9;59.32;48.5;Concluída;2023-08
VEN000140;2023-08-26;CLI111;PROD016;E-commerce;1;122.22;122.22;0.0;0.0;122.22;62.9;59.32;48.5;Concluída;2023-08
VEN000141;2023-08-13;CLI096;PROD016;Loja Física;1;122.22;122.22;5.0;6.11;116.11;62.9;53.21;45.8;Concluída;2023-08
VEN000142;2023-08-23;CLI004;PROD016;E-commerce;1;122.22;122.22;0.0;0.0;122.22;62.9;59.32;48.5;Concluída;2023-08
VEN000143;2023-08-28;CLI053;PROD016;E-commerce;1;122.22;122.22;5.0;6.11;116.11;62.9;53.21;45.8;Concluída;2023-08
VEN000144;2023-08-16;CLI115;PROD017;WhatsApp;1;139.68;139.68;0.0;0.0;139.68;65.98;73.7;52.8;Concluída;2023-08
VEN000145;2023-08-05;CLI057;PROD017;E-commerce;1;139.68;139.68;0.0;0.0;139.68;65.98;73.7;52.8;Concluída;2023-08
VEN000146;2023-08-16;CLI107;PROD017;Loja Física;3;139.68;419.04;0.0;0.0;419.04;197.94;221.1;52.8;Concluída;2023-08
VEN000147;2023-08-23;CLI119;PROD017;WhatsApp;2;139.68;279.36;0.0;0.0;279.36;131.96;147.4;52.8;Concluída;2023-08
VEN000148;2023-08-26;CLI001;PROD017;Loja Física;1;139.68;139.68;5.0;6.98;132.7;65.98;66.72;50.3;Concluída;2023-08
VEN000149;2023-08-17;CLI103;PROD017;Loja Física;1;139.68;139.68;0.0;0.0;139.68;65.98;73.7;52.8;Concluída;2023-08
VEN000150;2023-08-12;CLI016;PROD017;WhatsApp;1;139.68;139.68;0.0;0.0;139.68;65.98;73.7;52.8;Concluída;2023-08
VEN000151;2023-08-23;CLI054;PROD017;E-commerce;2;139.68;279.36;5.0;13.97;265.39;131.96;133.43;50.3;Concluída;2023-08
VEN000152;2023-08-01;CLI003;PROD017;Loja Física;1;139.68;139.68;0.0;0.0;139.68;65.98;73.7;52.8;Concluída;2023-08
VEN000153;2023-08-05;CLI104;PROD017;E-commerce;1;139.68;139.68;0.0;0.0;139.68;65.98;73.7;52.8;Concluída;2023-08
VEN000154;2023-08-30;CLI086;PROD017;Loja Física;2;139.68;279.36;0.0;0.0;279.36;131.96;147.4;52.8;Concluída;2023-08
VEN000155;2023-08-02;CLI015;PROD017;Loja Física;1;139.68;139.68;0.0;0.0;139.68;65.98;73.7;52.8;Concluída;2023-08
VEN000156;2023-08-25;CLI057;PROD018;WhatsApp;1;52.59;52.59;0.0;0.0;52.59;24.63;27.96;53.2;Concluída;2023-08
VEN000157;2023-08-14;CLI005;PROD018;Loja Física;2;52.59;105.18;0.0;0.0;105.18;49.26;55.92;53.2;Concluída;2023-08
VEN000158;2023-08-02;CLI093;PROD018;E-commerce;1;52.59;52.59;0.0;0.0;52.59;24.63;27.96;53.2;Concluída;2023-08
VEN000159;2023-08-18;CLI109;PROD018;Loja Física;1;52.59;52.59;0.0;0.0;52.59;24.63;27.96;53.2;Concluída;2023-08
VEN000160;2023-08-03;CLI103;PROD018;E-commerce;2;52.59;105.18;0.0;0.0;105.18;49.26;55.92;53.2;Concluída;2023-08
VEN000161;2023-08-25;CLI003;PROD018;WhatsApp;2;52.59;105.18;0.0;0.0;105.18;49.26;55.92;53.2;Concluída;2023-08
VEN000162;2023-08-12;CLI041;PROD018;Loja Física;1;52.59;52.59;0.0;0.0;52.59;24.63;27.96;53.2;Concluída;2023-08
VEN000163;2023-08-15;CLI043;PROD018;Loja Física;1;52.59;52.59;0.0;0.0;52.59;24.63;27.96;53.2;Concluída;2023-08
VEN000164;2023-08-21;CLI021;PROD018;WhatsApp;1;52.59;52.59;0.0;0.0;52.59;24.63;27.96;53.2;Concluída;2023-08
VEN000165;2023-08-05;CLI083;PROD018;Loja Física;3;52.59;157.77;0.0;0.0;157.77;73.89;83.88;53.2;Concluída;2023-08
VEN000166;2023-08-28;CLI105;PROD018;WhatsApp;1;52.59;52.59;0.0;0.0;52.59;24.63;27.96;53.2;Concluída;2023-08
VEN000167;2023-08-19;CLI025;PROD019;E-commerce;1;79.51;79.51;0.0;0.0;79.51;34.27;45.24;56.9;Concluída;2023-08
VEN000168;2023-08-11;CLI060;PROD019;Loja Física;2;79.51;159.02;0.0;0.0;159.02;68.54;90.48;56.9;Concluída;2023-08
VEN000169;2023-08-03;CLI099;PROD019;E-commerce;2;79.51;159.02;0.0;0.0;159.02;68.54;90.48;56.9;Concluída;2023-08
VEN000170;2023-08-18;CLI014;PROD019;E-commerce;1;79.51;79.51;0.0;0.0;79.51;34.27;45.24;56.9;Concluída;2023-08
VEN000171;2023-08-04;CLI003;PROD019;E-commerce;2;79.51;159.02;0.0;0.0;159.02;68.54;90.48;56.9;Concluída;2023-08
VEN000172;2023-08-22;CLI072;PROD019;E-commerce;1;79.51;79.51;0.0;0.0;79.51;34.27;45.24;56.9;Concluída;2023-08
VEN000173;2023-08-21;CLI115;PROD019;Loja Física;2;79.51;159.02;0.0;0.0;159.02;68.54;90.48;56.9;Concluída;2023-08
VEN000174;2023-08-23;CLI095;PROD019;Loja Física;2;79.51;159.02;0.0;0.0;159.02;68.54;90.48;56.9;Concluída;2023-08
VEN000175;2023-08-03;CLI111;PROD019;E-commerce;1;79.51;79.51;0.0;0.0;79.51;34.27;45.24;56.9;Concluída;2023-08
VEN000176;2023-08-14;CLI074;PROD019;Loja Física;1;79.51;79.51;0.0;0.0;79.51;34.27;45.24;56.9;Concluída;2023-08
VEN000177;2023-08-18;CLI108;PROD020;Loja Física;1;177.39;177.39;0.0;0.0;177.39;85.22;92.17;52.0;Concluída;2023-08
VEN000178;2023-08-12;CLI086;PROD020;Loja Física;1;177.39;177.39;0.0;0.0;177.39;85.22;92.17;52.0;Concluída;2023-08
VEN000179;2023-08-17;CLI087;PROD020;WhatsApp;3;177.39;532.17;5.0;26.61;505.56;255.66;249.9;49.4;Concluída;2023-08
VEN000180;2023-08-14;CLI022;PROD020;E-commerce;2;177.39;354.78;5.0;17.74;337.04;170.44;166.6;49.4;Concluída;2023-08
VEN000181;2023-08-16;CLI008;PROD020;E-commerce;1;177.39;177.39;5.0;8.87;168.52;85.22;83.3;49.4;Concluída;2023-08
VEN000182;2023-08-01;CLI105;PROD020;Loja Física;3;177.39;532.17;0.0;0.0;532.17;255.66;276.51;52.0;Concluída;2023-08
VEN000183;2023-08-14;CLI020;PROD020;E-commerce;1;177.39;177.39;0.0;0.0;177.39;85.22;92.17;52.0;Concluída;2023-08
VEN000184;2023-08-27;CLI105;PROD020;WhatsApp;1;177.39;177.39;0.0;0.0;177.39;85.22;92.17;52.0;Concluída;2023-08
VEN000185;2023-08-30;CLI056;PROD021;E-commerce;1;160.19;160.19;0.0;0.0;160.19;68.34;91.85;57.3;Concluída;2023-08
VEN000186;2023-08-28;CLI075;PROD021;E-commerce;1;160.19;160.19;0.0;0.0;160.19;68.34;91.85;57.3;Concluída;2023-08
VEN000187;2023-08-03;CLI049;PROD021;Loja Física;1;160.19;160.19;5.0;8.01;152.18;68.34;83.84;55.1;Concluída;2023-08
VEN000188;2023-08-11;CLI068;PROD021;E-commerce;1;160.19;160.19;0.0;0.0;160.19;68.34;91.85;57.3;Concluída;2023-08
