id_conta_receber;venda_id;cliente_id;data_emissao;data_vencimento;data_recebimento;numero_parcela;total_parcelas;valor_original;valor_recebido;saldo_aberto;status;forma_recebimento
CR000019;VEN000017;CLI069;2023-08-09;2023-08-09;2023-08-10;1;1;135.07;135.07;0.0;Recebido;Cartão de Débito
CR000020;VEN000018;CLI100;2023-08-30;2023-09-29;2023-09-30;1;1;176.66;176.66;0.0;Recebido;Cartão de Crédito
CR000021;VEN000019;CLI027;2023-08-29;2023-09-28;2023-09-28;1;1;176.66;176.66;0.0;Recebido;Cartão de Crédito
CR000022;VEN000020;CLI062;2023-08-12;2023-09-11;2023-09-11;1;1;167.83;167.83;0.0;Recebido;Cartão de Crédito
CR000023;VEN000021;CLI077;2023-08-27;2023-09-26;2023-09-27;1;3;111.88;111.88;0.0;Recebido;Cartão de Crédito
CR000024;VEN000021;CLI077;2023-08-27;2023-10-26;2023-10-26;2;3;111.88;111.88;0.0;Recebido;Cartão de Crédito
CR000025;VEN000021;CLI077;2023-08-27;2023-11-25;2023-11-26;3;3;111.89;111.89;0.0;Recebido;Cartão de Crédito
CR000026;VEN000022;CLI094;2023-08-29;2023-09-28;2023-09-28;1;1;167.83;167.83;0.0;Recebido;Cartão de Crédito
CR000027;VEN000023;CLI086;2023-08-28;2023-09-27;2023-09-28;1;1;176.66;176.66;0.0;Recebido;Cartão de Crédito
CR000028;VEN000024;CLI051;2023-08-31;2023-08-31;2023-09-01;1;1;167.83;167.83;0.0;Recebido;PIX
CR000029;VEN000025;CLI076;2023-08-04;2023-08-04;2023-08-06;1;1;353.32;353.32;0.0;Recebido;Cartão de Débito
CR000030;VEN000026;CLI113;2023-08-09;2023-09-08;2023-09-08;1;1;259.98;259.98;0.0;Recebido;Cartão de Crédito
CR000031;VEN000027;CLI001;2023-08-27;2023-08-27;2023-08-28;1;1;519.96;519.96;0.0;Recebido;Cartão de Débito
CR000032;VEN000028;CLI006;2023-08-09;2023-08-09;2023-08-09;1;1;246.98;246.98;0.0;Recebido;Cartão de Débito
CR000033;VEN000029;CLI082;2023-08-22;2023-08-22;2023-08-24;1;1;259.98;259.98;0.0;Recebido;PIX
CR000034;VEN000030;CLI002;2023-08-13;2023-08-13;2023-08-15;1;1;259.98;259.98;0.0;Recebido;Cartão de Débito
CR000035;VEN000031;CLI046;2023-08-20;2023-09-19;2023-09-19;1;1;259.98;259.98;0.0;Recebido;Cartão de Crédito
CR000036;VEN000032;CLI081;2023-08-14;2023-09-13;2023-09-13;1;1;1039.92;1039.92;0.0;Recebido;Cartão de Crédito
CR000037;VEN000033;CLI031;2023-08-30;2023-09-29;2023-09-29;1;1;246.98;246.98;0.0;Recebido;Cartão de Crédito
CR000038;VEN000034;CLI057;2023-08-21;2023-08-21;2023-08-23;1;1;246.98;246.98;0.0;Recebido;Cartão de Débito
CR000039;VEN000035;CLI041;2023-08-12;2023-08-12;2023-08-12;1;1;519.96;519.96;0.0;Recebido;Cartão de Débito
CR000040;VEN000036;CLI041;2023-08-06;2023-09-05;2023-09-05;1;1;259.98;259.98;0.0;Recebido;Cartão de Crédito
CR000041;VEN000037;CLI065;2023-08-12;2023-08-12;2023-08-12;1;1;93.61;93.61;0.0;Recebido;PIX
CR000042;VEN000038;CLI064;2023-08-09;2023-08-09;2023-08-10;1;1;93.61;93.61;0.0;Recebido;Cartão de Débito
CR000043;VEN000039;CLI012;2023-08-04;2023-08-04;2023-08-04;1;1;88.93;88.93;0.0;Recebido;Cartão de Débito
CR000044;VEN000040;CLI115;2023-08-07;2023-08-07;2023-08-07;1;1;88.93;88.93;0.0;Recebido;PIX
CR000045;VEN000041;CLI100;2023-08-27;2023-08-27;2023-08-29;1;1;187.22;187.22;0.0;Recebido;PIX
CR000046;VEN000042;CLI082;2023-08-28;2023-08-28;2023-08-30;1;1;187.22;187.22;0.0;Recebido;Cartão de Débito
CR000047;VEN000043;CLI111;2023-08-29;2023-09-28;2023-09-30;1;1;93.61;93.61;0.0;Recebido;Cartão de Crédito
CR000048;VEN000044;CLI044;2023-08-06;2023-08-06;2023-08-06;1;1;93.61;93.61;0.0;Recebido;Cartão de Débito
CR000049;VEN000045;CLI066;2023-08-22;2023-09-21;2023-09-21;1;1;187.22;187.22;0.0;Recebido;Cartão de Crédito
CR000050;VEN000046;CLI006;2023-08-16;2023-09-15;2023-09-16;1;1;93.61;93.61;0.0;Recebido;Cartão de Crédito
CR000051;VEN000047;CLI074;2023-08-11;2023-09-10;2023-09-10;1;2;186.62;186.62;0.0;Recebido;Cartão de Crédito
CR000052;VEN000047;CLI074;2023-08-11;2023-10-10;2023-10-10;2;2;186.62;186.62;0.0;Recebido;Cartão de Crédito
CR000053;VEN000048;CLI030;2023-08-29;2023-09-28;2023-09-29;1;3;87.31;87.31;0.0;Recebido;Cartão de Crédito
CR000054;VEN000048;CLI030;2023-08-29;2023-10-28;2023-10-29;2;3;87.31;87.31;0.0;Recebido;Cartão de Crédito
CR000055;VEN000048;CLI030;2023-08-29;2023-11-27;2023-11-28;3;3;87.3;87.3;0.0;Recebido;Cartão de Crédito
CR000056;VEN000049;CLI115;2023-08-04;2023-08-04;2023-08-04;1;1;130.96;130.96;0.0;Recebido;Cartão de Débito
CR000057;VEN000050;CLI060;2023-08-25;2023-08-25;2023-08-26;1;1;130.96;130.96;0.0;Recebido;Cartão de Débito
CR000058;VEN000051;CLI054;2023-08-21;2023-09-20;2023-09-21;1;1;392.88;392.88;0.0;Recebido;Cartão de Crédito
CR000059;VEN000052;CLI073;2023-08-21;2023-08-21;2023-08-22;1;1;252.7;252.7;0.0;Recebido;Cartão de Débito
CR000060;VEN000053;CLI110;2023-08-02;2023-09-01;2023-09-01;1;1;126.35;126.35;0.0;Recebido;Cartão de Crédito
CR000061;VEN000054;CLI025;2023-08-15;2023-08-15;2023-08-15;1;1;126.35;126.35;0.0;Recebido;PIX
CR000062;VEN000055;CLI029;2023-08-29;2023-09-28;2023-09-28;1;1;126.35;126.35;0.0;Recebido;Cartão de Crédito
CR000063;VEN000056;CLI111;2023-08-20;2023-08-20;2023-08-20;1;1;120.03;120.03;0.0;Recebido;PIX
CR000064;VEN000057;CLI057;2023-08-09;2023-09-08;2023-09-10;1;3;40.01;40.01;0.0;Recebido;Cartão de Crédito
CR000065;VEN000057;CLI057;2023-08-09;2023-10-08;2023-10-08;2;3;40.01;40.01;0.0;Recebido;Cartão de Crédito
CR000066;VEN000057;CLI057;2023-08-09;2023-11-07;2023-11-09;3;3;40.01;40.01;0.0;Recebido;Cartão de Crédito
CR000067;VEN000058;CLI041;2023-08-10;2023-09-09;2023-09-11;1;2;63.17;63.17;0.0;Recebido;Cartão de Crédito
CR000068;VEN000058;CLI041;2023-08-10;2023-10-09;2023-10-10;2;2;63.18;63.18;0.0;Recebido;Cartão de Crédito
CR000069;VEN000059;CLI023;2023-08-12;2023-08-12;2023-08-12;1;1;126.35;126.35;0.0;Recebido;PIX
CR000070;VEN000060;CLI074;2023-08-13;2023-09-12;2023-09-14;1;3;80.02;80.02;0.0;Recebido;Cartão de Crédito
CR000071;VEN000060;CLI074;2023-08-13;2023-10-12;2023-10-14;2;3;80.02;80.02;0.0;Recebido;Cartão de Crédito
CR000072;VEN000060;CLI074;2023-08-13;2023-11-11;2023-11-11;3;3;80.03;80.03;0.0;Recebido;Cartão de Crédito
CR000073;VEN000061;CLI112;2023-08-27;2023-08-27;2023-08-27;1;1;379.05;379.05;0.0;Recebido;Cartão de Débito
CR000074;VEN000062;CLI009;2023-08-31;2023-09-30;2023-09-30;1;1;120.03;120.03;0.0;Recebido;Cartão de Crédito
CR000075;VEN000063;CLI040;2023-08-27;2023-08-27;2023-08-27;1;1;145.52;145.52;0.0;Recebido;Cartão de Débito
CR000076;VEN000064;CLI068;2023-08-24;2023-08-24;2023-08-24;1;1;436.56;436.56;0.0;Recebido;Cartão de Débito
CR000077;VEN000065;CLI014;2023-08-27;2023-09-26;2023-09-26;1;2;72.76;72.76;0.0;Recebido;Cartão de Crédito
CR000078;VEN000065;CLI014;2023-08-27;2023-10-26;2023-10-28;2;2;72.76;72.76;0.0;Recebido;Cartão de Crédito
CR000079;VEN000066;CLI013;2023-08-04;2023-08-04;2023-08-04;1;1;138.24;138.24;0.0;Recebido;PIX
CR000080;VEN000067;CLI070;2023-08-09;2023-08-09;2023-08-09;1;1;145.52;145.52;0.0;Recebido;PIX
CR000081;VEN000068;CLI099;2023-08-12;2023-08-12;2023-08-12;1;1;145.52;145.52;0.0;Recebido;Cartão de Débito
CR000082;VEN000069;CLI074;2023-08-30;2023-08-30;2023-08-31;1;1;145.52;145.52;0.0;Recebido;PIX
CR000083;VEN000070;CLI065;2023-08-14;2023-08-14;2023-08-14;1;1;145.52;145.52;0.0;Recebido;PIX
CR000084;VEN000071;CLI099;2023-08-30;2023-09-29;2023-09-29;1;2;72.76;72.76;0.0;Recebido;Cartão de Crédito
CR000085;VEN000071;CLI099;2023-08-30;2023-10-29;2023-10-29;2;2;72.76;72.76;0.0;Recebido;Cartão de Crédito
CR000086;VEN000072;CLI055;2023-08-14;2023-09-13;2023-09-13;1;2;72.76;72.76;0.0;Recebido;Cartão de Crédito
CR000087;VEN000072;CLI055;2023-08-14;2023-10-13;2023-10-15;2;2;72.76;72.76;0.0;Recebido;Cartão de Crédito
CR000088;VEN000073;CLI075;2023-08-24;2023-08-24;2023-08-24;1;1;48.23;48.23;0.0;Recebido;Cartão de Débito
CR000089;VEN000074;CLI009;2023-08-21;2023-09-20;2023-09-21;1;2;24.11;24.11;0.0;Recebido;Cartão de Crédito
CR000090;VEN000074;CLI009;2023-08-21;2023-10-20;2023-10-20;2;2;24.12;24.12;0.0;Recebido;Cartão de Crédito
CR000091;VEN000075;CLI080;2023-08-10;2023-08-10;2023-08-10;1;1;48.23;48.23;0.0;Recebido;PIX
CR000092;VEN000076;CLI077;2023-08-23;2023-08-23;2023-08-23;1;1;45.82;45.82;0.0;Recebido;Cartão de Débito
CR000093;VEN000077;CLI108;2023-08-23;2023-08-23;2023-08-23;1;1;48.23;48.23;0.0;Recebido;PIX
CR000094;VEN000078;CLI059;2023-08-03;2023-09-02;2023-09-04;1;2;48.23;48.23;0.0;Recebido;Cartão de Crédito
CR000095;VEN000078;CLI059;2023-08-03;2023-10-02;2023-10-03;2;2;48.23;48.23;0.0;Recebido;Cartão de Crédito
CR000096;VEN000079;CLI025;2023-08-19;2023-08-19;2023-08-19;1;1;144.69;144.69;0.0;Recebido;Cartão de Débito
CR000097;VEN000080;CLI057;2023-08-20;2023-08-20;2023-08-21;1;1;45.82;45.82;0.0;Recebido;Cartão de Débito
CR000098;VEN000081;CLI073;2023-08-09;2023-09-08;2023-09-08;1;2;24.11;24.11;0.0;Recebido;Cartão de Crédito
CR000099;VEN000081;CLI073;2023-08-09;2023-10-08;2023-10-08;2;2;24.12;24.12;0.0;Recebido;Cartão de Crédito
CR000100;VEN000082;CLI058;2023-08-09;2023-09-08;2023-09-08;1;2;24.11;24.11;0.0;Recebido;Cartão de Crédito
CR000101;VEN000082;CLI058;2023-08-09;2023-10-08;2023-10-08;2;2;24.12;24.12;0.0;Recebido;Cartão de Crédito
CR000102;VEN000083;CLI003;2023-08-16;2023-08-16;2023-08-16;1;1;144.69;144.69;0.0;Recebido;Cartão de Débito
CR000103;VEN000084;CLI072;2023-08-03;2023-09-02;2023-09-02;1;3;15.27;15.27;0.0;Recebido;Cartão de Crédito
CR000104;VEN000084;CLI072;2023-08-03;2023-10-02;2023-10-03;2;3;15.27;15.27;0.0;Recebido;Cartão de Crédito
CR000105;VEN000084;CLI072;2023-08-03;2023-11-01;2023-11-01;3;3;15.28;15.28;0.0;Recebido;Cartão de Crédito
CR000106;VEN000085;CLI039;2023-08-18;2023-09-17;2023-09-17;1;1;48.23;48.23;0.0;Recebido;Cartão de Crédito
CR000107;VEN000086;CLI033;2023-08-28;2023-08-28;2023-08-30;1;1;48.23;48.23;0.0;Recebido;PIX
CR000108;VEN000087;CLI104;2023-08-10;2023-08-10;2023-08-11;1;1;96.46;96.46;0.0;Recebido;Cartão de Débito
CR000109;VEN000088;CLI096;2023-08-20;2023-09-19;2023-09-19;1;2;48.23;48.23;0.0;Recebido;Cartão de Crédito
CR000110;VEN000088;CLI096;2023-08-20;2023-10-19;2023-10-20;2;2;48.23;48.23;0.0;Recebido;Cartão de Crédito
CR000111;VEN000089;CLI074;2023-08-09;2023-09-08;2023-09-09;1;3;15.27;15.27;0.0;Recebido;Cartão de Crédito
CR000112;VEN000089;CLI074;2023-08-09;2023-10-08;2023-10-09;2;3;15.27;15.27;0.0;Recebido;Cartão de Crédito
CR000113;VEN000089;CLI074;2023-08-09;2023-11-07;2023-11-07;3;3;15.28;15.28;0.0;Recebido;Cartão de Crédito
CR000114;VEN000090;CLI004;2023-08-13;2023-08-13;2023-08-13;1;1;134.03;134.03;0.0;Recebido;Cartão de Débito
CR000115;VEN000091;CLI075;2023-08-13;2023-08-13;2023-08-13;1;1;268.06;268.06;0.0;Recebido;PIX
CR000116;VEN000092;CLI003;2023-08-24;2023-08-24;2023-08-24;1;1;134.03;134.03;0.0;Recebido;PIX
CR000117;VEN000093;CLI037;2023-08-08;2023-09-07;2023-09-07;1;1;127.33;127.33;0.0;Recebido;Cartão de Crédito
CR000118;VEN000094;CLI066;2023-08-25;2023-08-25;2023-08-25;1;1;127.33;127.33;0.0;Recebido;PIX
CR000119;VEN000095;CLI105;2023-08-16;2023-08-16;2023-08-16;1;1;134.03;134.03;0.0;Recebido;PIX
CR000120;VEN000096;CLI059;2023-08-28;2023-09-27;2023-09-28;1;1;254.66;254.66;0.0;Recebido;Cartão de Crédito
CR000121;VEN000097;CLI029;2023-08-26;2023-08-26;2023-08-28;1;1;134.03;134.03;0.0;Recebido;Cartão de Débito
CR000122;VEN000098;CLI120;2023-08-23;2023-09-22;2023-09-22;1;1;254.66;254.66;0.0;Recebido;Cartão de Crédito
CR000123;VEN000099;CLI019;2023-08-09;2023-08-09;2023-08-09;1;1;268.06;268.06;0.0;Recebido;PIX
CR000124;VEN000100;CLI116;2023-08-30;2023-08-30;2023-08-30;1;1;509.31;509.31;0.0;Recebido;PIX
CR000125;VEN000101;CLI076;2023-08-31;2023-08-31;2023-08-31;1;1;268.06;268.06;0.0;Recebido;Cartão de Débito
CR000126;VEN000102;CLI026;2023-08-27;2023-09-26;2023-09-26;1;1;119.11;119.11;0.0;Recebido;Cartão de Crédito
CR000127;VEN000103;CLI105;2023-08-04;2023-09-03;2023-09-03;1;1;125.38;125.38;0.0;Recebido;Cartão de Crédito
CR000128;VEN000104;CLI073;2023-08-27;2023-09-26;2023-09-28;1;3;119.11;119.11;0.0;Recebido;Cartão de Crédito
CR000129;VEN000104;CLI073;2023-08-27;2023-10-26;2023-10-26;2;3;119.11;119.11;0.0;Recebido;Cartão de Crédito
CR000130;VEN000104;CLI073;2023-08-27;2023-11-25;2023-11-25;3;3;119.11;119.11;0.0;Recebido;Cartão de Crédito
CR000131;VEN000105;CLI120;2023-08-31;2023-08-31;2023-08-31;1;1;250.76;250.76;0.0;Recebido;PIX
CR000132;VEN000106;CLI058;2023-08-05;2023-09-04;2023-09-04;1;1;125.38;125.38;0.0;Recebido;Cartão de Crédito
CR000133;VEN000107;CLI107;2023-08-10;2023-08-10;2023-08-12;1;1;125.38;125.38;0.0;Recebido;Cartão de Débito
CR000134;VEN000108;CLI064;2023-08-16;2023-08-16;2023-08-16;1;1;376.14;376.14;0.0;Recebido;PIX
CR000135;VEN000109;CLI052;2023-08-11;2023-08-11;2023-08-11;1;1;125.38;125.38;0.0;Recebido;Cartão de Débito
CR000136;VEN000110;CLI053;2023-08-28;2023-09-27;2023-09-27;1;1;125.38;125.38;0.0;Recebido;Cartão de Crédito
CR000137;VEN000111;CLI083;2023-08-08;2023-09-07;2023-09-07;1;1;125.38;125.38;0.0;Recebido;Cartão de Crédito
CR000138;VEN000112;CLI054;2023-08-03;2023-08-03;2023-08-04;1;1;250.76;250.76;0.0;Recebido;Cartão de Débito
CR000139;VEN000113;CLI099;2023-08-31;2023-08-31;2023-09-02;1;1;832.12;832.12;0.0;Recebido;PIX
CR000140;VEN000114;CLI051;2023-08-05;2023-09-04;2023-09-04;1;3;138.69;138.69;0.0;Recebido;Cartão de Crédito
CR000141;VEN000114;CLI051;2023-08-05;2023-10-04;2023-10-05;2;3;138.69;138.69;0.0;Recebido;Cartão de Crédito
CR000142;VEN000114;CLI051;2023-08-05;2023-11-03;2023-11-03;3;3;138.68;138.68;0.0;Recebido;Cartão de Crédito
CR000143;VEN000115;CLI012;2023-08-21;2023-09-20;2023-09-22;1;1;416.06;416.06;0.0;Recebido;Cartão de Crédito
CR000144;VEN000116;CLI113;2023-08-06;2023-08-06;2023-08-06;1;1;208.03;208.03;0.0;Recebido;Cartão de Débito
CR000145;VEN000117;CLI113;2023-08-06;2023-08-06;2023-08-06;1;1;197.63;197.63;0.0;Recebido;Cartão de Débito
CR000146;VEN000118;CLI005;2023-08-04;2023-09-03;2023-09-04;1;1;203.49;203.49;0.0;Recebido;Cartão de Crédito
CR000147;VEN000119;CLI003;2023-08-17;2023-08-17;2023-08-17;1;1;193.32;193.32;0.0;Recebido;PIX
CR000148;VEN000120;CLI051;2023-08-09;2023-09-08;2023-09-08;1;1;203.49;203.49;0.0;Recebido;Cartão de Crédito
CR000149;VEN000121;CLI112;2023-08-25;2023-09-24;2023-09-24;1;1;406.98;406.98;0.0;Recebido;Cartão de Crédito
CR000150;VEN000122;CLI068;2023-08-23;2023-09-22;2023-09-22;1;1;406.98;406.98;0.0;Recebido;Cartão de Crédito
CR000151;VEN000123;CLI088;2023-08-03;2023-09-02;2023-09-03;1;3;67.83;67.83;0.0;Recebido;Cartão de Crédito
CR000152;VEN000123;CLI088;2023-08-03;2023-10-02;2023-10-02;2;3;67.83;67.83;0.0;Recebido;Cartão de Crédito
CR000153;VEN000123;CLI088;2023-08-03;2023-11-01;2023-11-03;3;3;67.83;67.83;0.0;Recebido;Cartão de Crédito
CR000154;VEN000124;CLI041;2023-08-19;2023-09-18;2023-09-18;1;3;67.83;67.83;0.0;Recebido;Cartão de Crédito
CR000155;VEN000124;CLI041;2023-08-19;2023-10-18;2023-10-18;2;3;67.83;67.83;0.0;Recebido;Cartão de Crédito
CR000156;VEN000124;CLI041;2023-08-19;2023-11-17;2023-11-17;3;3;67.83;67.83;0.0;Recebido;Cartão de Crédito
CR000157;VEN000125;CLI096;2023-08-15;2023-09-14;2023-09-14;1;1;203.49;203.49;0.0;Recebido;Cartão de Crédito
CR000158;VEN000126;CLI092;2023-08-26;2023-09-25;2023-09-25;1;1;203.49;203.49;0.0;Recebido;Cartão de Crédito
CR000159;VEN000127;CLI044;2023-08-25;2023-09-24;2023-09-24;1;3;135.66;135.66;0.0;Recebido;Cartão de Crédito
CR000160;VEN000127;CLI044;2023-08-25;2023-10-24;2023-10-24;2;3;135.66;135.66;0.0;Recebido;Cartão de Crédito
CR000161;VEN000127;CLI044;2023-08-25;2023-11-23;2023-11-23;3;3;135.66;135.66;0.0;Recebido;Cartão de Crédito
CR000162;VEN000128;CLI010;2023-08-14;2023-09-13;2023-09-13;1;3;143.96;143.96;0.0;Recebido;Cartão de Crédito
CR000163;VEN000128;CLI010;2023-08-14;2023-10-13;2023-10-13;2;3;143.96;143.96;0.0;Recebido;Cartão de Crédito
CR000164;VEN000128;CLI010;2023-08-14;2023-11-12;2023-11-13;3;3;143.96;143.96;0.0;Recebido;Cartão de Crédito
CR000165;VEN000129;CLI033;2023-08-30;2023-08-30;2023-09-01;1;1;215.94;215.94;0.0;Recebido;PIX
CR000166;VEN000130;CLI061;2023-08-03;2023-09-02;2023-09-04;1;2;51.28;51.28;0.0;Recebido;Cartão de Crédito
CR000167;VEN000130;CLI061;2023-08-03;2023-10-02;2023-10-02;2;2;51.29;51.29;0.0;Recebido;Cartão de Crédito
CR000168;VEN000131;CLI026;2023-08-06;2023-08-06;2023-08-07;1;1;107.97;107.97;0.0;Recebido;PIX
CR000169;VEN000132;CLI083;2023-08-29;2023-08-29;2023-08-29;1;1;215.94;215.94;0.0;Recebido;Cartão de Débito
CR000170;VEN000133;CLI060;2023-08-30;2023-08-30;2023-08-30;1;1;161.35;161.35;0.0;Recebido;PIX
CR000171;VEN000134;CLI066;2023-08-09;2023-08-09;2023-08-10;1;1;322.7;322.7;0.0;Recebido;Cartão de Débito
CR000172;VEN000135;CLI028;2023-08-28;2023-09-27;2023-09-27;1;2;80.67;80.67;0.0;Recebido;Cartão de Crédito
CR000173;VEN000135;CLI028;2023-08-28;2023-10-27;2023-10-27;2;2;80.68;80.68;0.0;Recebido;Cartão de Crédito
CR000174;VEN000136;CLI083;2023-08-24;2023-08-24;2023-08-25;1;1;322.7;322.7;0.0;Recebido;Cartão de Débito
CR000175;VEN000137;CLI112;2023-08-02;2023-08-02;2023-08-02;1;1;232.22;232.22;0.0;Recebido;Cartão de Débito
CR000176;VEN000138;CLI059;2023-08-02;2023-08-02;2023-08-02;1;1;122.22;122.22;0.0;Recebido;Cartão de Débito
CR000177;VEN000139;CLI041;2023-08-06;2023-09-05;2023-09-05;1;1;122.22;122.22;0.0;Recebido;Cartão de Crédito
CR000178;VEN000140;CLI111;2023-08-26;2023-08-26;2023-08-26;1;1;122.22;122.22;0.0;Recebido;Cartão de Débito
CR000179;VEN000141;CLI096;2023-08-13;2023-09-12;2023-09-12;1;2;58.05;58.05;0.0;Recebido;Cartão de Crédito
CR000180;VEN000141;CLI096;2023-08-13;2023-10-12;2023-10-13;2;2;58.06;58.06;0.0;Recebido;Cartão de Crédito
CR000181;VEN000142;CLI004;2023-08-23;2023-08-23;2023-08-23;1;1;122.22;122.22;0.0;Recebido;Cartão de Débito
CR000182;VEN000143;CLI053;2023-08-28;2023-08-28;2023-08-29;1;1;116.11;116.11;0.0;Recebido;PIX
CR000183;VEN000144;CLI115;2023-08-16;2023-08-16;2023-08-18;1;1;139.68;139.68;0.0;Recebido;PIX
CR000184;VEN000145;CLI057;2023-08-05;2023-08-05;2023-08-05;1;1;139.68;139.68;0.0;Recebido;Cartão de Débito
CR000185;VEN000146;CLI107;2023-08-16;2023-09-15;2023-09-15;1;1;419.04;419.04;0.0;Recebido;Cartão de Crédito
CR000186;VEN000147;CLI119;2023-08-23;2023-08-23;2023-08-24;1;1;279.36;279.36;0.0;Recebido;Cartão de Débito
CR000187;VEN000148;CLI001;2023-08-26;2023-09-25;2023-09-25;1;1;132.7;132.7;0.0;Recebido;Cartão de Crédito
CR000188;VEN000149;CLI103;2023-08-17;2023-09-16;2023-09-16;1;2;69.84;69.84;0.0;Recebido;Cartão de Crédito
CR000189;VEN000149;CLI103;2023-08-17;2023-10-16;2023-10-18;2;2;69.84;69.84;0.0;Recebido;Cartão de Crédito
CR000190;VEN000150;CLI016;2023-08-12;2023-08-12;2023-08-13;1;1;139.68;139.68;0.0;Recebido;Cartão de Débito
CR000191;VEN000151;CLI054;2023-08-23;2023-09-22;2023-09-22;1;1;265.39;265.39;0.0;Recebido;Cartão de Crédito
CR000192;VEN000152;CLI003;2023-08-01;2023-08-01;2023-08-01;1;1;139.68;139.68;0.0;Recebido;Cartão de Débito
CR000193;VEN000153;CLI104;2023-08-05;2023-09-04;2023-09-04;1;1;139.68;139.68;0.0;Recebido;Cartão de Crédito
CR000194;VEN000154;CLI086;2023-08-30;2023-09-29;2023-09-29;1;1;279.36;279.36;0.0;Recebido;Cartão de Crédito
CR000195;VEN000155;CLI015;2023-08-02;2023-09-01;2023-09-01;1;3;46.56;46.56;0.0;Recebido;Cartão de Crédito
CR000196;VEN000155;CLI015;2023-08-02;2023-10-01;2023-10-01;2;3;46.56;46.56;0.0;Recebido;Cartão de Crédito
CR000197;VEN000155;CLI015;2023-08-02;2023-10-31;2023-10-31;3;3;46.56;46.56;0.0;Recebido;Cartão de Crédito
CR000198;VEN000156;CLI057;2023-08-25;2023-09-24;2023-09-24;1;1;52.59;52.59;0.0;Recebido;Cartão de Crédito
CR000199;VEN000157;CLI005;2023-08-14;2023-09-13;2023-09-15;1;1;105.18;105.18;0.0;Recebido;Cartão de Crédito
CR000200;VEN000158;CLI093;2023-08-02;2023-09-01;2023-09-01;1;1;52.59;52.59;0.0;Recebido;Cartão de Crédito
CR000201;VEN000159;CLI109;2023-08-18;2023-08-18;2023-08-19;1;1;52.59;52.59;0.0;Recebido;PIX
CR000202;VEN000160;CLI103;2023-08-03;2023-09-02;2023-09-02;1;1;105.18;105.18;0.0;Recebido;Cartão de Crédito
CR000203;VEN000161;CLI003;2023-08-25;2023-09-24;2023-09-24;1;1;105.18;105.18;0.0;Recebido;Cartão de Crédito
CR000204;VEN000162;CLI041;2023-08-12;2023-09-11;2023-09-12;1;1;52.59;52.59;0.0;Recebido;Cartão de Crédito
CR000205;VEN000163;CLI043;2023-08-15;2023-08-15;2023-08-15;1;1;52.59;52.59;0.0;Recebido;Cartão de Débito
CR000206;VEN000164;CLI021;2023-08-21;2023-08-21;2023-08-22;1;1;52.59;52.59;0.0;Recebido;PIX
CR000207;VEN000165;CLI083;2023-08-05;2023-08-05;2023-08-05;1;1;157.77;157.77;0.0;Recebido;PIX
